,,,,,,,,,,,,,,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,3.71,Close -Velocity (m/s) :,3.77,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0
,,,,,,,,,,,,,,Open -Velocity (m/s) :,0.12,Open -Velocity (m/s) :,0.12,Open -Velocity (m/s) :,6.63,Open -Velocity (m/s) :,6.6,Open -Velocity (m/s) :,0.12,Open -Velocity (m/s) :,0.12
,,,,,,,,,,,,,,TR4,,TR4,,TR4,,TR4,,TR4,,TR4,
,,,,,,,,,,,,,,NA,,NA,,RBreak1,,RBreak2,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp
0.015,0.029,0.015,0.029,0,0, ,0,0,0,0.1,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,368.25,0
0.007,0.022,0,0.037,0,0, ,0,0,0,-0.06,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,379.98,0
0.051,0.007,0,0.066,0,0, ,0,0,0,0.02,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,378.02,0
0.161,0.029,0,0.051,0,0, ,0,0,0,0.1,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,393.65,0
0.286,0.022,0.015,0.029,0,0, ,0,0,0,0.18,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,393.65,0
0.359,0.007,0,0.037,0,0, ,0,0,0,0.02,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,391.7,0
0.484,0.029,0.015,0.066,0,0, ,0,0,0,-0.14,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,379,0
