,,,,,,,,,,,,,,Close -Velocity (m/s) :,3.73,Close -Velocity (m/s) :,3.67,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0
,,,,,,,,,,,,,,Open -Velocity (m/s) :,6.65,Open -Velocity (m/s) :,6.54,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0
,,,,,,,,,,,,,,TR3,,TR3,,TR2,,TR2,,TR1,,TR1,
,,,,,,,,,,,,,,BBreak1,,BBreak2,,NA,,NA,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp
0,0,0,0,0,0, ,0,0,0.14,0,0,0,,8000,0,8000,0,0,0,2518.19,0,8000,0,0,0
0,0,0,0,0,0, ,0,0,-0.02,0,0,0,,8000,0,8000,0,0,0,2598.29,0,8000,0,0,0
0,0,0,0,0,0, ,0,0,-0.26,0,0,0,,8000,0,8000,0,0,0,2598.29,0,8000,0,0,0
0,0,0,0,0,0, ,0,0,0.06,0,0,0,,8000,0,8000,0,0,0,2611.97,0,8000,0,0,0
0,0,0,0,0,0, ,0,0,0.06,0,0,0,,8000,0,8000,0,0,0,2598.29,0,8000,0,0,0
0,0,0,0,0,0, ,0,0,0.06,0,0,0,,8000,0,8000,0,0,0,2598.29,0,8000,0,0,0
0,0,0,0,0,0, ,0,0,-0.18,0,0,0,,8000,0,8000,0,0,0,2598.29,0,8000,0,0,0
0,0,0,0,0,0, ,0,0,-0.02,0,0,0,,8000,0,8000,0,0,0,2625.64,0,8000,0,0,0
0,0,0,0,0,0, ,0,0,0.06,0,0,0,,8000,0,8000,0,0,0,2639.32,0,8000,0,0,0
0,0,0,0,0,0, ,0,0,-0.1,0,0,0,,8000,0,8000,0,0,0,2529.91,0,8000,0,35.16,0
0,0,0,0,0,0, ,0,0,0.14,0,0,0,,8000,0,8000,0,0,0,2598.29,0,8000,0,0,0
0,0,0,0,0,0, ,0,0,-0.02,0,0,0,,8000,0,8000,0,0,0,2529.91,0,8000,0,0,0
0,0,0,0,0,0, ,0,0,-0.18,0,0,0,,8000,0,8000,0,0,0,2529.91,0,8000,0,35.16,0
0,0,0,0,0,0, ,0,0,-0.18,0,0,0,,8000,0,8000,0,0,0,2488.89,0,8000,0,0,0
0,0,0,0,0,0, ,0,0,-0.02,0,0,0,,8000,0,8000,0,0,0,2529.91,0,8000,0,0,0
0,0,0,0,0,0, ,0,0,0.06,0,0,0,,8000,0,8000,0,0,0,2502.56,0,8000,0,0,0
0,0,0,0,0,0, ,0,0,-0.18,0,0,0,,8000,0,8000,0,0,0,2611.97,0,8000,0,0,0
0,0,0,0,0,0, ,0,0,0.14,0,0,0,,8000,0,8000,0,0,0,2529.91,0,8000,0,0,0
0,0,0,0,0,0, ,0,0,-0.1,0,0,0,,8000,0,8000,0,0,0,2625.64,0,8000,0,0,0
0,0,0,0,0,0, ,0,0,-0.02,0,0,0,,8000,0,8000,0,0,0,2543.59,0,8000,0,0,0
