,,,,,,,,,,,,,,Close -Velocity (m/s) :,3.92,Close -Velocity (m/s) :,3.88,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0
,,,,,,,,,,,,,,Open -Velocity (m/s) :,8,Open -Velocity (m/s) :,7.97,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0
,,,,,,,,,,,,,,TR1,,TR1,,TR2,,TR2,,TR5,,TR6,
,,,,,,,,,,,,,,BBreak1,,BBreak2,,NA,,NA,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp
0,0.007,0,0.051,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1829.55,0
0,0.007,0,0.044,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1878.39,0
0.066,0,0,0.037,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1899.88,0
0.154,0.007,0,0.051,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1899.88,0
0.278,0.007,0,0.059,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1859.83,0
0.396,0.015,0,0.051,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1870.57,0
0.528,0.007,0,0.073,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1870.57,0
0.623,0.015,0,0.059,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1859.83,0
0.74,0,0,0.051,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1870.57,0
0.835,0,0,0.051,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.29,4000,0,1910.62,0
0.945,0,0,0.059,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1900.85,0
1.011,0,0,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1881.32,0
1.143,0,0,0.066,0,0, ,0.2,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1881.32,0
1.238,0.007,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1899.88,0
1.334,0.007,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1880.34,0
1.436,0.007,0.007,0.066,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1869.6,0
1.509,0,0,0.044,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1861.78,0
1.612,0,0,0.051,0,0, ,-0.28,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1870.57,0
1.7,0,0,0.051,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1870.57,0
1.795,0,0,0.059,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1900.85,0
1.905,0.007,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1890.11,0
1.978,0.015,0,0.066,0,0, ,0.2,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1881.32,0
2.074,0.015,0,0.066,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1851.04,0
2.147,0.007,0,0.066,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1870.57,0
2.242,0.007,0,0.044,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1870.57,0
2.315,0,0,0.059,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1920.39,0
2.411,0.007,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1910.62,0
2.499,0,0,0.051,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1890.11,0
2.586,0.015,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1890.11,0
2.652,0.015,0,0.051,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1899.88,0
2.74,0.007,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1920.39,0
2.792,0,0,0.051,0,0, ,-0.2,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1880.34,0
2.865,0,0,0.066,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1920.39,0
2.945,0.007,0,0.051,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1892.06,0
3.011,0,0,0.066,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1900.85,0
3.092,0.007,0,0.066,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1910.62,0
3.143,0.007,0,0.059,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1910.62,0
3.202,0.007,0,0.066,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1870.57,0
3.246,0,0,0.051,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1881.32,0
3.297,0,0,0.066,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1910.62,0
3.334,0,0,0.044,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1910.62,0
3.363,0.007,0,0.066,0,0, ,-0.2,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1930.16,0
3.407,0.007,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1910.62,0
3.429,0,0,0.066,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1890.11,0
3.458,0.022,0.007,0.066,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1859.83,0
3.458,0.007,0,0.044,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1910.62,0
3.466,0,0,0.059,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1900.85,0
3.48,0.007,0,0.059,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1870.57,0
3.488,0,0,0.051,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.29,4000,0,1920.39,0
3.51,0,0,0.059,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1910.62,0
3.554,0,0,0.066,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1900.85,0
3.583,0.007,0,0.059,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1899.88,0
3.634,0.015,0,0.066,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1880.34,0
3.664,0.007,0,0.051,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1890.11,0
3.715,0,0,0.051,0,0, ,0.2,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1890.11,0
3.759,0,0,0.051,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1930.16,0
3.788,0,0,0.051,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1900.85,0
3.854,0.007,0,0.051,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1930.16,0
3.905,0.007,0,0.066,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.29,4000,0,1910.62,0
3.935,0.007,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1899.88,0
3.957,0.007,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1920.39,0
4.008,0.007,0,0.051,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1870.57,0
4.03,0.007,0,0.051,0,0, ,0.2,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1900.85,0
4.067,0.007,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1900.85,0
4.11,0.007,0.007,0.066,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1910.62,0
4.147,0.015,0,0.059,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.29,4000,0,1900.85,0
4.154,0,0,0.081,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1890.11,0
4.191,0.015,0.007,0.066,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1910.62,0
4.191,0.015,0,0.051,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1870.57,0
4.228,0.007,0,0.059,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1870.57,0
4.242,0,0,0.059,0,0, ,-0.2,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1881.32,0
4.257,0.007,0,0.059,0,0, ,0.2,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1900.85,0
4.279,0.022,0.007,0.051,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1900.85,0
4.294,0.015,0,0.073,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1910.62,0
4.308,0.007,0,0.073,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1870.57,0
4.308,0.015,0,0.051,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1890.11,0
4.323,0.007,0,0.066,0,0, ,0.2,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1890.11,0
4.316,0.007,0,0.037,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1900.85,0
4.323,0,0,0.066,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1920.39,0
4.352,0.007,0,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1900.85,0
4.36,0.015,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1910.62,0
4.36,0.015,0,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1890.11,0
4.36,0,0.007,0.059,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1899.88,0
4.36,0.015,0,0.051,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1910.62,0
4.374,0.007,0,0.051,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1910.62,0
4.367,0.007,0,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.29,4000,0,1900.85,0
4.382,0.015,0.007,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1900.85,0
4.389,0.007,0,0.066,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1881.32,0
4.382,0.007,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1890.11,0
4.382,0.015,0.007,0.066,0,0, ,0.2,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1899.88,0
4.389,0.007,0,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1851.04,0
4.374,0.007,0,0.044,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1910.62,0
4.382,0,0,0.066,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1861.78,0
4.389,0,0,0.066,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1910.62,0
4.389,0.007,0,0.066,0,0, ,-0.2,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1910.62,0
4.404,0,0,0.059,0,0, ,-0.2,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1899.88,0
4.396,0.015,0,0.059,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1890.11,0
4.396,0.007,0,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1899.88,0
4.404,0,0,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1899.88,0
4.389,0.007,0,0.044,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1861.78,0
4.404,0,0,0.029,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1920.39,0
4.404,0.007,0,0.066,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1870.57,0
4.411,0,0,0.051,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1910.62,0
4.404,0.007,0,0.066,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1889.13,0
4.396,0.007,0,0.059,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1859.83,0
4.396,0,0,0.051,0,0, ,-0.2,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1880.34,0
4.411,0,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1890.11,0
4.411,0.007,0,0.051,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1859.83,0
4.411,0,0,0.059,0,0, ,0.2,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1890.11,0
4.418,0.007,0,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1870.57,0
4.426,0.022,0,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1859.83,0
4.418,0.015,0.007,0.066,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1889.13,0
4.404,0.015,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1869.6,0
4.411,0.007,0,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1859.83,0
4.404,0.007,0,0.044,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1869.6,0
4.411,0.007,0,0.051,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1840.29,0
4.426,0.015,0.007,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1880.34,0
4.411,0.015,0,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1859.83,0
4.418,0.007,0.007,0.066,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1859.83,0
4.418,0.015,0.007,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1849.08,0
4.404,0.007,0,0.044,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1849.08,0
4.404,0,0,0.051,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1819.78,0
4.404,0.007,0,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1869.6,0
4.404,0.007,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1889.13,0
4.418,0.022,0,0.073,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1869.6,0
4.411,0.007,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1849.08,0
4.404,0.007,0,0.073,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1849.08,0
4.418,0.007,0,0.051,0,0, ,-0.2,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1840.29,0
4.411,0.007,0,0.044,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1859.83,0
4.396,0,0,0.051,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1840.29,0
