,,,,,,,,,,,,,,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,3.6,Close -Velocity (m/s) :,3.58,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0
,,,,,,,,,,,,,,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,6.31,Open -Velocity (m/s) :,6.28,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0
,,,,,,,,,,,,,,TR2,,TR2,,TR4,,TR4,,TR2,,TR2,
,,,,,,,,,,,,,,NA,,NA,,BBreak1,,BBreak2,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp
0,0,0,0.044,0,0, ,0,0,0,0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,99.63,0,0,0
0.015,0.022,0.015,0.037,0,0, ,0,0,0,-0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
0.037,0.044,0.029,0.051,0,0, ,0,0,0,0.08,0,0,,4000,31.61,4000,0,4000,0,4000,0,0,0,0,0
0.066,0.081,0.059,0.059,0.007,0, ,0,0,0,0.08,0,0,,4000,31.61,4000,0,4000,0,4000,0,0,0,0,0
0.117,0.132,0.095,0.059,0,0, ,0,0,0,0,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
0.169,0.176,0.147,0.044,0,0, ,0,0,0,0,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
0.205,0.227,0.198,0.044,0,0, ,0,0,0,0,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
0.242,0.278,0.249,0.044,0,0, ,0,0,0,0,0,0,,4000,31.61,4000,0,4000,0,4000,0,0,0,0,0
0.3,0.315,0.271,0.059,0,0, ,0,0,0,-0.16,0,0,,4000,31.61,4000,0,4000,0,4000,0,0,0,0,0
0.33,0.337,0.308,0.051,0,0, ,0,0,0,0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
0.352,0.396,0.359,0.051,0,0, ,0,0,0,0,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
0.403,0.41,0.366,0.059,0.007,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
0.447,0.469,0.425,0.044,0,0, ,0,0,0,0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
0.469,0.491,0.462,0.044,0,0, ,0,0,0,0,0,0,,4000,31.61,4000,0,4000,0,4000,0,0,0,0,0
0.52,0.528,0.484,0.051,0,0, ,0,0,0,-0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
0.55,0.564,0.52,0.044,0,0, ,0,0,0,0,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
0.557,0.593,0.55,0.051,0,0, ,0,0,0,0,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
0.615,0.623,0.564,0.059,0,0, ,0,0,0,-0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
0.674,0.681,0.645,0.029,0,0, ,0,0,0,-0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
0.674,0.681,0.63,0.051,0,0, ,0,0,0,0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
0.725,0.733,0.703,0.044,0,0, ,0,0,0,0,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
0.762,0.755,0.718,0.029,0,0, ,0,0,0,0,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
0.755,0.769,0.725,0.051,0,0, ,0,0,0,0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
0.813,0.813,0.769,0.022,0,0, ,0,0,0,0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
0.85,0.85,0.806,0.022,0,0, ,0,0,0,-0.16,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
0.857,0.857,0.813,0.044,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
0.887,0.901,0.865,0.029,0,0, ,0,0,0,0,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
0.938,0.931,0.879,0.022,0,0, ,0,0,0,0,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
0.923,0.931,0.879,0.037,0,0, ,0,0,0,0.08,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
0.967,0.982,0.938,0.037,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
0.975,0.975,0.916,0.037,0,0, ,0,0,0,-0.24,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
0.996,1.011,0.945,0.037,0,0, ,0,0,0,-0.24,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.011,1.026,0.967,0.029,0,0, ,0,0,0,0,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.04,1.04,1.004,0.022,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.07,1.084,1.011,0.044,0,0, ,0,0,0,-0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.092,1.099,1.04,0.022,0,0, ,0,0,0,0,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.084,1.106,1.018,0.037,0,0, ,0,0,0,-0.24,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.106,1.136,1.04,0.037,0,0, ,0,0,0,-0.32,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.121,1.136,1.062,0.037,0,0, ,0,0,0,-0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
