,,,,,,,,,,,,,,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,3.65,Close -Velocity (m/s) :,3.69,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0
,,,,,,,,,,,,,,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,7.74,Open -Velocity (m/s) :,7.74,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0
,,,,,,,,,,,,,,TR2,,TR2,,TR4,,TR4,,TR2,,TR2,
,,,,,,,,,,,,,,NA,,NA,,RBreak1,,RBreak2,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp
0,0,0,0.029,0,0, ,0,0,0,0.12,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
0,0,0,0.044,0,0, ,0,0,0,0.2,0,0,,4000,29.74,4000,0,4000,0,4000,0,4000,0,1454.46,0
0.007,0.022,0.022,0.059,0,0.007, ,0,0,0,-0.04,0,0,,4000,29.74,4000,0,4000,0,4000,0,4000,0,1529.67,0
0.088,0.081,0.088,0.037,0,0, ,0,0,0,0.2,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1529.67,0
0.117,0.125,0.132,0.051,0,0, ,0,0,0,0.12,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1529.67,0
0.176,0.183,0.169,0.022,0,0, ,0,0,0,0.04,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1529.67,0
0.183,0.212,0.183,0.051,0,0, ,0,0,0,0.12,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1529.67,0
0.212,0.227,0.212,0.059,0,0, ,0,0,0,0.04,0,0,,4000,29.74,4000,0,4000,0,4000,0,4000,0,1529.67,0
0.286,0.286,0.271,0.037,0,0, ,0,0,0,-0.04,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1411.48,0
0.308,0.322,0.308,0.037,0,0, ,0,0,0,0.12,0,0,,4000,29.74,4000,0,4000,0,4000,0,4000,0,1575.58,0
0.337,0.359,0.33,0.044,0,0, ,0,0,0,0.12,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1529.67,0
0.381,0.388,0.366,0.044,0,0, ,0,0,0,0.04,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1529.67,0
0.418,0.425,0.41,0.066,0,0, ,0,0,0,-0.12,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1529.67,0
0.491,0.484,0.476,0.029,0,0, ,0,0,0,0.04,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1411.48,0
0.498,0.513,0.498,0.059,0,0, ,0,0,0,0.12,0,0,,4000,29.74,4000,0,4000,0,4000,0,4000,0,1411.48,0
0.513,0.535,0.52,0.059,0.007,0, ,0,0,0,0.12,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1411.48,0
0.572,0.564,0.528,0.044,0,0, ,0,0,0,-0.04,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1529.67,0
0.586,0.586,0.564,0.051,0,0.015, ,0,0,0,0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
0.63,0.637,0.63,0.029,0,0, ,0,0,0,-0.04,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1575.58,0
0.645,0.652,0.637,0.037,0,0, ,0,0,0,0.12,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
0.667,0.681,0.645,0.037,0,0, ,0,0,0,0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
0.689,0.703,0.667,0.051,0,0, ,0,0,0,0.04,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1575.58,0
0.755,0.747,0.725,0.022,0,0, ,0,0,0,0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1575.58,0
0.777,0.784,0.762,0.015,0,0, ,0,0,0,-0.04,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1529.67,0
0.791,0.806,0.769,0.044,0,0, ,0,0,0,0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
0.799,0.813,0.791,0.051,0,0, ,0,0,0,0.04,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1411.48,0
0.843,0.85,0.799,0.044,0,0, ,0,0,0,-0.12,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
0.887,0.909,0.85,0.029,0,0, ,0,0,0,0.04,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1411.48,0
0.923,0.916,0.901,0.022,0,0, ,0,0,0,0.04,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1411.48,0
0.938,0.938,0.909,0.037,0,0, ,0,0,0,0.04,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1411.48,0
0.945,0.96,0.909,0.051,0,0, ,0,0,0,0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
0.982,0.989,0.938,0.044,0,0, ,0,0,0,0.04,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.026,1.026,0.989,0.029,0,0, ,0,0,0,0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.04,1.055,1.011,0.029,0,0, ,0,0,0,0.12,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.048,1.062,1.026,0.066,0,0, ,0,0,0,0.04,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.04,1.062,1.018,0.044,0,0, ,0,0,0,0.12,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.084,1.092,1.018,0.044,0,0, ,0,0,0,0.12,0,0,,4000,29.6,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.114,1.143,1.07,0.022,0,0, ,0,0,0,-0.12,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.143,1.136,1.106,0.029,0,0, ,0,0,0,0.12,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.136,1.143,1.106,0.037,0,0, ,0,0,0,0.12,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.143,1.15,1.099,0.051,0,0, ,0,0,0,-0.2,0,0,,4000,29.63,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.165,1.172,1.121,0.037,0,0, ,0,0,0,0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.202,1.202,1.158,0.029,0,0, ,0,0,0,0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.216,1.216,1.172,0.044,0,0, ,0,0,0,0.12,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.202,1.224,1.172,0.059,0,0, ,0,0,0,0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.202,1.209,1.165,0.059,0,0, ,0,0,0,-0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.238,1.238,1.202,0.037,0,0, ,0,0,0,-0.28,0,0,,4000,29.71,4000,0,4000,0,4000,0,4000,0,1411.48,0
1.246,1.246,1.209,0.029,0,0, ,0,0,0,-0.04,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1454.46,0
1.238,1.246,1.209,0.044,0,0, ,0,0,0,0.12,0,0,,4000,29.67,4000,0,4000,0,4000,0,4000,0,1411.48,0
