,,,,,,,,,,,,,,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,3.54,Close -Velocity (m/s) :,3.49,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0
,,,,,,,,,,,,,,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,7.45,Open -Velocity (m/s) :,7.37,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0
,,,,,,,,,,,,,,TR2,,TR2,,TR4,,TR4,,TR2,,TR2,
,,,,,,,,,,,,,,NA,,NA,,YBreak1,,YBreak2,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp
0,0,0,0.029,0,0, ,0,0,0,0.85,0,0,,4000,30.26,4000,0,4000,0,4000,0,137.73,0,457.14,0
0,0,0,0.037,0,0, ,0,0,0,-0.26,0,0,,4000,30.37,4000,0,4000,0,4000,0,132.84,0,555.8,0
0,0,0,0.051,0,0, ,0,0,0,-0.02,0,0,,4000,30.4,4000,0,4000,0,4000,0,0,0,555.8,0
0.029,0.044,0.037,0.029,0,0, ,0,0,0,0.14,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,555.8,0
0.066,0.073,0.066,0.051,0,0, ,0,0,0,-0.02,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,555.8,0
0.132,0.147,0.139,0.051,0,0, ,0,0,0,-0.02,0,0,,4000,30.48,4000,0,4000,0,4000,0,0,0,555.8,0
0.198,0.198,0.191,0.029,0,0, ,0,0,0,0.06,0,0,,4000,30.4,4000,0,4000,0,4000,0,0,0,555.8,0
0.212,0.227,0.205,0.051,0,0, ,0,0,0,-0.1,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,555.8,0
0.242,0.256,0.256,0.051,0,0.007, ,0,0,0,-0.02,0,0,,4000,30.4,4000,0,4000,0,4000,0,0,0,555.8,0
0.315,0.322,0.322,0.037,0,0, ,0,0,0,-0.02,0,0,,4000,30.4,4000,0,4000,0,4000,0,0,0,555.8,0
