,,,,,,,,,,,,,,Close -Velocity (m/s) :,3.64,Close -Velocity (m/s) :,3.64,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0
,,,,,,,,,,,,,,Open -Velocity (m/s) :,6.4,Open -Velocity (m/s) :,6.28,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0
,,,,,,,,,,,,,,TR4,,TR4,,TR2,,TR2,,TR2,,TR2,
,,,,,,,,,,,,,,BBreak1,,BBreak2,,NA,,NA,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp
0,0,0,0.044,0,0, ,0,0,0,0.44,0,0,,4000,0,4000,0,77.17,0,4000,25.49,4000,0,0,0
0,0,0,0.029,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
0,0.022,0,0.029,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,25.53,4000,0,0,0
0.044,0.066,0.022,0.044,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
0.059,0.088,0.044,0.044,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,25.6,4000,0,0,0
0.095,0.117,0.044,0.059,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.6,4000,0,0,0
0.147,0.176,0.117,0.029,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.6,4000,0,0,0
0.183,0.198,0.147,0.059,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.6,4000,0,0,0
0.256,0.264,0.22,0.037,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
0.264,0.293,0.212,0.044,0,0, ,0,0,0,0.2,0,0,,4000,0,4000,0,0,0,4000,25.6,4000,0,0,0
0.315,0.352,0.264,0.037,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
0.33,0.374,0.278,0.051,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
0.366,0.388,0.315,0.059,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
0.418,0.44,0.337,0.044,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
0.44,0.469,0.366,0.044,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
0.513,0.542,0.447,0.022,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
0.513,0.542,0.447,0.037,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
0.542,0.564,0.462,0.059,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
0.564,0.601,0.476,0.066,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,25.6,4000,0,0,0
0.608,0.659,0.506,0.073,0.007,0.007, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
0.659,0.681,0.579,0.051,0,0, ,0,0,0,-0.12,0,0,,4000,0,4000,0,0,0,4000,25.6,4000,0,0,0
0.696,0.718,0.623,0.044,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,25.6,4000,0,0,0
0.747,0.762,0.637,0.029,0,0, ,0,0,0,0.2,0,0,,4000,0,4000,0,0,0,4000,25.6,4000,0,0,0
0.725,0.777,0.652,0.037,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
0.769,0.784,0.652,0.051,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
0.791,0.813,0.681,0.066,0,0, ,0,0,0,-0.2,0,0,,4000,0,4000,0,0,0,4000,25.53,4000,0,0,0
0.813,0.828,0.681,0.059,0,0, ,0,0,0,-0.12,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
0.872,0.887,0.747,0.037,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
0.909,0.931,0.791,0.037,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
