,,,,,,,,,,,,,,Close -Velocity (m/s) :,3.73,Close -Velocity (m/s) :,3.69,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0
,,,,,,,,,,,,,,Open -Velocity (m/s) :,6.56,Open -Velocity (m/s) :,6.41,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0
,,,,,,,,,,,,,,TR4,,TR4,,TR2,,TR2,,TR2,,TR2,
,,,,,,,,,,,,,,RBreak1,,RBreak2,,NA,,NA,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp
0,0,0,0.029,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,99.63,0,4000,19.6,4000,0,0,0
0,0.007,0.007,0.029,0,0, ,0,0,0,0.2,0,0,,4000,0,4000,0,0,0,4000,19.63,4000,0,0,0
0.022,0.037,0.015,0.029,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,19.71,4000,0,0,0
0.051,0.088,0.051,0.037,0,0, ,0,0,0,0.2,0,0,,4000,0,4000,0,0,0,4000,19.71,4000,0,0,0
0.073,0.103,0.059,0.051,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,19.71,4000,0,0,0
0.147,0.183,0.11,0.037,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,19.74,4000,0,0,0
0.191,0.22,0.139,0.037,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,19.71,4000,0,0,0
0.242,0.249,0.183,0.029,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,19.67,4000,0,0,0
0.271,0.278,0.212,0.044,0,0, ,0,0,0,-0.12,0,0,,4000,0,4000,0,0,0,4000,19.71,4000,0,0,0
0.286,0.3,0.22,0.059,0,0.007, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,19.71,4000,0,0,0
0.322,0.374,0.3,0.066,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,19.71,4000,0,0,0
0.374,0.418,0.322,0.059,0,0, ,0,0,0,0.2,0,0,,4000,0,4000,0,0,0,4000,19.71,4000,0,0,0
