SAP ID,109000055719,
HEADER:,
Substation:,Meerut ,,SAP Equipment No.:,109000055719,,Test Date :,16-10-2024,,
Bay :,410,,Breaker Type :,GL316-160050,,Serial Number :,160050,,
Employee Id :,60012075,,Manufacturer :,ALSTOM,,Gas Pressure :,7.0,,
Oil Pressure :,NIL,,Air Pressure :,NIL,,Voltage (kV) :,400,,

SETTINGS :,
Trigger Option :,DCRM,,Sampling Speed (kC) :,10,,Reistance Range uOhm :,8000,,
Plot Length(ms) :,550,,Delay tco (ms) :,300,,Delay toc (ms) :,325,,
Current Range C1(A) :,25,,Current Range C2(A) :,25,,Current Range C3(A) :,25,,
Current Range C4(A) :,0,,Current Range C5(A) :,0,,Current Range C6(A) :,0,,
T1 (mm) :,187.06,,T2 (mm) :,185.62,,T3 (mm) :,184.90,,
T4 (mm) :,0.00,,T5 (mm) :,0.00,,T6 (mm) :,0.00,,

Velocity :,Enabled,,PIR :,Disabled,,Auxiliary :,Disabled,,
Analog Channels :,Disabled,,Linkage Ratio :,1.44,,
Electric Stroke Length T1 :,235,,Electric Stroke Length T2 :,235,,Electric Stroke Length T3 :,235,,
Electric Stroke Length T4 :,0,,Electric Stroke Length T5 :,0,,Electric Stroke Length T6 :,0,,

Velocity Points :,
Close1 :,30,,Open1 :,30,,DefClose :,10,
Close2 :,60,,Open2 :,60,,DefOpen :,10,,

Travel Results	:
Mechanism Travel(T1)(mm) :,129.90,,Mechanism Travel(T2)(mm) :,128.90,,Mechanism Travel(T3)(mm) :,128.40,,
Mechanism Travel(T4)(mm) :,0.00,,Mechanism Travel(T5)(mm) :,0.00,,Mechanism Travel(T6)(mm) :,0.00,,
Contact Travel(T1)(mm) :,187.06,,Contact Travel(T2)(mm) :,185.62,,Contact Travel(T3)(mm) :,184.90,,
Contact Travel(T4)(mm) :,0.00,,Contact Travel(T5)(mm) :,0.00,,Contact Travel(T6)(mm) :,0.00,,
Close - Datum Velocity (m/s)(T1) :,3.51,,Close - Datum Velocity (m/s)(T2) :,3.47,,Close - Datum Velocity (m/s)(T3) :,3.41,,
Close - Datum Velocity (m/s)(T4) :,0.00,,Close - Datum Velocity (m/s)(T5) :,0.00,,Close - Datum Velocity (m/s)(T6) :,0.00,,
Open - Datum Velocity (m/s)(T1) :,7.77,,Open - Datum Velocity (m/s)(T2) :,7.10,,Open - Datum Velocity (m/s)(T3) :,7.34,,
Open - Datum Velocity (m/s)(T4) :,0.00,,Open - Datum Velocity (m/s)(T5) :,0.00,,Open - Datum Velocity (m/s)(T6) :,0.00,,
Close - Over Travel(T1)(mm) :,5.39,,Close - Over Travel(T2)(mm) :,4.53,,Close - Over Travel(T3)(mm) :,4.38,,
Close - Over Travel(T4)(mm) :,0,,Close - Over Travel(T5)(mm) :,0,,Close - Over Travel(T6)(mm) :,0,,
Open -Rebound(T1)(mm) :,1.35,,Open - Rebound(T2)(mm) :,1.43,,Open -Rebound(T3)(mm) :,0.50,,
Open - Rebound(T4)(mm) :,0.00,,Open - Rebound(T5)(mm) :,0.00,,Open - Rebound(T6)(mm) :,0.00,,
Coil Current (A)(C1) :,1.465,,Coil Current (A)(C2) :,1.458,,Coil Current (A)(C3) :,1.451,,
Coil Current (A)(C4) :,0.000,,Coil Current (A)(C5) :,0.000,,Coil Current (A)(C6) :,0.000,,

,,,,,,,,,,,,,,Close -Velocity (m/s) :,4.03,Close -Velocity (m/s) :,4.05,Close -Velocity (m/s) :,4.08,Close -Velocity (m/s) :,3.99,Close -Velocity (m/s) :,3.73,Close -Velocity (m/s) :,3.89,
,,,,,,,,,,,,,,Open -Velocity (m/s) :,7.64,Open -Velocity (m/s) :,7.58,Open -Velocity (m/s) :,6.79,Open -Velocity (m/s) :,6.26,Open -Velocity (m/s) :,7.32,Open -Velocity (m/s) :,6.93,
,,,,,,,,,,,,,,TR1,,TR1,,TR2,,TR2,,TR3,,TR3,
,,,,,,,,,,,,,,RBreak1,,RBreak2,,YBreak1,,YBreak2,,BBreak1,,BBreak2,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.000,0.000,0.000,0.022,0.000,0.000, ,-0.53,-0.10,1.14,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.037,0.007,0.000,0.000,0.000,0.000, ,-0.19,0.23,0.48,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.022,0.022,0.015,0.015,0.000,0.000, ,-0.27,0.23,0.06,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.051,0.000,0.000,0.022,0.000,0.000, ,0.32,-0.10,-0.19,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.051,0.022,0.007,0.044,0.000,0.007, ,-0.11,-0.78,0.31,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.029,0.000,0.015,0.007,0.000,0.007, ,-0.27,0.06,0.31,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.029,0.000,0.000,0.029,0.000,0.000, ,0.15,0.31,0.06,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.044,0.000,0.007,0.037,0.000,0.000, ,0.23,0.31,0.31,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.015,0.000,0.000,0.015,0.000,0.000, ,-0.19,-0.10,0.81,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.051,0.000,0.000,0.007,0.000,0.000, ,-0.36,-0.10,-0.19,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.015,0.000,0.000,0.029,0.000,0.000, ,-0.27,-0.10,0.23,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
