SAP ID,109000090213,
HEADER:,
Substation:,765_400KV  S_S LKO ,,SAP Equipment No.:,109000090213,,Test Date :,11-04-2020,,
Bay :,701 REACTOR CB,,Breaker Type :,GL318,,Serial Number :,260007,,
Employee Id :,60010509,,Manufacturer :,ALSTOM,,Gas Pressure :,7.6BAR,,
Oil Pressure :,NIL,,Air Pressure :,NIL,,Voltage (kV) :,765,,

SETTINGS :,
Trigger Option :,DCRM,,Sampling Speed (kC) :,10,,Reistance Range uOhm :,4000,,
Plot Length(ms) :,500,,Delay tco (ms) :,300,,Delay toc (ms) :,100,,
Current Range C1(A) :,10,,Current Range C2(A) :,10,,Current Range C3(A) :,10,,
Current Range C4(A) :,0,,Current Range C5(A) :,0,,Current Range C6(A) :,0,,
T1 (mm) :,0.00,,T2 (mm) :,0.00,,T3 (mm) :,0.00,,
T4 (mm) :,178.56,,T5 (mm) :,178.56,,T6 (mm) :,178.56,,

Velocity :,Enabled,,PIR :,Disabled,,Auxiliary :,Disabled,,
Analog Channels :,Disabled,,Linkage Ratio :,1.44,,
Electric Stroke Length T1 :,225,,Electric Stroke Length T2 :,225,,Electric Stroke Length T3 :,225,,
Electric Stroke Length T4 :,225,,Electric Stroke Length T5 :,225,,Electric Stroke Length T6 :,225,,

Velocity Points :,
Close1 :,0,,Open1 :,10,,DefClose :,10,
Close2 :,10,,Open2 :,0,,DefOpen :,10,,

Travel Results	:
Mechanism Travel(T1)(mm) :,0.00,,Mechanism Travel(T2)(mm) :,0.00,,Mechanism Travel(T3)(mm) :,0.00,,
Mechanism Travel(T4)(mm) :,124.00,,Mechanism Travel(T5)(mm) :,124.00,,Mechanism Travel(T6)(mm) :,124.00,,
Contact Travel(T1)(mm) :,0.00,,Contact Travel(T2)(mm) :,0.00,,Contact Travel(T3)(mm) :,0.00,,
Contact Travel(T4)(mm) :,178.56,,Contact Travel(T5)(mm) :,178.56,,Contact Travel(T6)(mm) :,178.56,,
Close - Datum Velocity (m/s)(T1) :,0.00,,Close - Datum Velocity (m/s)(T2) :,0.00,,Close - Datum Velocity (m/s)(T3) :,0.00,,
Close - Datum Velocity (m/s)(T4) :,0.15,,Close - Datum Velocity (m/s)(T5) :,0.15,,Close - Datum Velocity (m/s)(T6) :,0.00,,
Open - Datum Velocity (m/s)(T1) :,0.00,,Open - Datum Velocity (m/s)(T2) :,0.00,,Open - Datum Velocity (m/s)(T3) :,0.00,,
Open - Datum Velocity (m/s)(T4) :,0.08,,Open - Datum Velocity (m/s)(T5) :,0.12,,Open - Datum Velocity (m/s)(T6) :,0.00,,
Close - Over Travel(T1)(mm) :,0,,Close - Over Travel(T2)(mm) :,0,,Close - Over Travel(T3)(mm) :,0,,
Close - Over Travel(T4)(mm) :,5.31,,Close - Over Travel(T5)(mm) :,4.40,,Close - Over Travel(T6)(mm) :,∞,,
Open -Rebound(T1)(mm) :,0.00,,Open - Rebound(T2)(mm) :,0.00,,Open -Rebound(T3)(mm) :,0.00,,
Open - Rebound(T4)(mm) :,0.23,,Open - Rebound(T5)(mm) :,0.56,,Open - Rebound(T6)(mm) :,0.00,,
Coil Current (A)(C1) :,9.478,,Coil Current (A)(C2) :,9.628,,Coil Current (A)(C3) :,0.067,,
Coil Current (A)(C4) :,0.000,,Coil Current (A)(C5) :,0.000,,Coil Current (A)(C6) :,0.000,,

,,,,,,,,,,,,,,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,3.60,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,3.66,Close -Velocity (m/s) :,3.67,
,,,,,,,,,,,,,,Open -Velocity (m/s) :,0.02,Open -Velocity (m/s) :,0.00,Open -Velocity (m/s) :,6.30,Open -Velocity (m/s) :,0.00,Open -Velocity (m/s) :,6.19,Open -Velocity (m/s) :,6.19,
,,,,,,,,,,,,,,TR4,,TR3,,TR5,,TR6,,TR5,,TR5,
,,,,,,,,,,,,,,B1 ISO,,B1 REAC,,B2 REAC,,B2 ISO,,,,,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.038,0.003,0.000,0.000,0.000,0.000, ,0.00,0.00,0.00,-0.20,-0.16,0.00 ,,0.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
0.129,0.003,0.000,0.000,0.000,0.000, ,0.00,0.00,0.00,-0.04,-0.08,0.00 ,,0.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
0.281,0.006,0.000,0.000,0.000,0.000, ,0.00,0.00,0.00,-0.04,0.08,0.00 ,,35.16,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
0.487,0.006,0.000,0.000,0.000,0.000, ,0.00,0.00,0.00,0.12,-0.08,0.00 ,,0.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
0.730,0.009,0.000,0.000,0.000,0.000, ,0.00,0.00,0.00,0.04,0.16,0.00 ,,0.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
0.996,0.006,0.000,0.000,0.000,0.000, ,0.00,0.00,0.00,-0.12,0.16,0.00 ,,69.35,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
1.284,0.006,0.000,0.000,0.000,0.000, ,0.00,0.00,0.00,-0.12,-0.08,0.00 ,,34.19,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
1.574,0.006,0.000,0.000,0.000,0.000, ,0.00,0.00,0.00,0.04,0.08,0.00 ,,68.38,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
1.876,0.009,0.000,0.000,0.000,0.000, ,0.00,0.00,0.00,-0.04,-0.08,0.00 ,,0.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
2.169,0.006,0.000,0.000,0.000,0.000, ,0.00,0.00,0.00,0.12,0.00,0.00 ,,0.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
2.465,0.009,0.000,0.000,0.000,0.003, ,0.00,0.00,0.00,0.04,0.08,0.00 ,,34.19,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
2.752,0.006,0.000,0.000,0.000,0.000, ,0.00,0.00,0.00,0.04,0.00,0.00 ,,35.16,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
3.036,0.012,0.000,0.000,0.000,0.003, ,0.00,0.00,0.00,-0.12,-0.24,0.00 ,,35.16,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
