SAP ID,109000116284,
HEADER:,
Substation:,BIHARSHARIF,,SAP Equipment No.:,109000116284,,Test Date :,12-09-2025,,
Bay :,402,,Breaker Type :,400-SFM-40A,,Serial Number :,19074C,,
Employee Id :,60011878,,Manufacturer :,CGL,,Gas Pressure :,7.0 BAR,,
Oil Pressure :,NA,,Air Pressure :,16,,Voltage (kV) :,400,,

SETTINGS :,
Trigger Option :,DCRM,,Sampling Speed (kC) :,10,,Reistance Range uOhm :,8000,,
Plot Length(ms) :,500,,Delay tco (ms) :,300,,Delay toc (ms) :,300,,
Current Range C1(A) :,25,,Current Range C2(A) :,25,,Current Range C3(A) :,25,,
Current Range C4(A) :,25,,Current Range C5(A) :,25,,Current Range C6(A) :,25,,
T1 (mm) :,229.04,,T2 (mm) :,231.47,,T3 (mm) :,227.54,,
T4 (mm) :,0.00,,T5 (mm) :,0.00,,T6 (mm) :,0.00,,

Velocity :,Enabled,,PIR :,Disabled,,Auxiliary :,Disabled,,
Analog Channels :,Disabled,,Linkage Ratio :,1.64,,
Electric Stroke Length T1 :,268,,Electric Stroke Length T2 :,265,,Electric Stroke Length T3 :,265,,
Electric Stroke Length T4 :,0,,Electric Stroke Length T5 :,0,,Electric Stroke Length T6 :,0,,

Velocity Points :,
Close1 :,30,,Open1 :,30,,DefClose :,10,
Close2 :,60,,Open2 :,60,,DefOpen :,10,,

Travel Results	:
Mechanism Travel(T1)(mm) :,139.66,,Mechanism Travel(T2)(mm) :,141.14,,Mechanism Travel(T3)(mm) :,138.74,,
Mechanism Travel(T4)(mm) :,0.00,,Mechanism Travel(T5)(mm) :,0.00,,Mechanism Travel(T6)(mm) :,0.00,,
Contact Travel(T1)(mm) :,229.04,,Contact Travel(T2)(mm) :,231.47,,Contact Travel(T3)(mm) :,227.54,,
Contact Travel(T4)(mm) :,0.00,,Contact Travel(T5)(mm) :,0.00,,Contact Travel(T6)(mm) :,0.00,,
Close - Datum Velocity (m/s)(T1) :,3.50,,Close - Datum Velocity (m/s)(T2) :,3.55,,Close - Datum Velocity (m/s)(T3) :,3.69,,
Close - Datum Velocity (m/s)(T4) :,0.00,,Close - Datum Velocity (m/s)(T5) :,0.00,,Close - Datum Velocity (m/s)(T6) :,0.00,,
Open - Datum Velocity (m/s)(T1) :,11.91,,Open - Datum Velocity (m/s)(T2) :,13.32,,Open - Datum Velocity (m/s)(T3) :,13.72,,
Open - Datum Velocity (m/s)(T4) :,0.00,,Open - Datum Velocity (m/s)(T5) :,0.00,,Open - Datum Velocity (m/s)(T6) :,0.00,,
Close - Over Travel(T1)(mm) :,4.19,,Close - Over Travel(T2)(mm) :,1.06,,Close - Over Travel(T3)(mm) :,2.23,,
Close - Over Travel(T4)(mm) :,0,,Close - Over Travel(T5)(mm) :,0,,Close - Over Travel(T6)(mm) :,0,,
Open -Rebound(T1)(mm) :,7.84,,Open - Rebound(T2)(mm) :,14.01,,Open -Rebound(T3)(mm) :,12.52,,
Open - Rebound(T4)(mm) :,0.00,,Open - Rebound(T5)(mm) :,0.00,,Open - Rebound(T6)(mm) :,0.00,,
Coil Current (A)(C1) :,1.495,,Coil Current (A)(C2) :,1.465,,Coil Current (A)(C3) :,1.487,,
Coil Current (A)(C4) :,2.183,,Coil Current (A)(C5) :,2.183,,Coil Current (A)(C6) :,2.118,,

,,,,,,,,,,,,,,Close -Velocity (m/s) :,2.41,Close -Velocity (m/s) :,2.49,Close -Velocity (m/s) :,2.40,Close -Velocity (m/s) :,2.30,Close -Velocity (m/s) :,2.58,Close -Velocity (m/s) :,2.44,
,,,,,,,,,,,,,,Open -Velocity (m/s) :,11.16,Open -Velocity (m/s) :,11.16,Open -Velocity (m/s) :,11.15,Open -Velocity (m/s) :,11.22,Open -Velocity (m/s) :,11.76,Open -Velocity (m/s) :,11.76,
,,,,,,,,,,,,,,TR1,,TR1,,TR2,,TR2,,TR3,,TR3,
,,,,,,,,,,,,,,RBreak1,,RBreak2,,YBreak1,,YBreak2,,BBreak1,,BBreak2,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.037,0.000,0.000,0.037,0.015,0.000, ,0.05,0.08,1.65,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.015,0.000,0.000,0.022,0.000,0.000, ,0.05,-0.03,1.65,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.022,0.000,0.022,0.022,0.000,0.000, ,0.05,-0.56,0.48,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.000,0.000,0.000,0.000,0.000,0.000, ,-0.05,-0.34,1.33,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.000,0.000,0.000,0.015,0.000,0.000, ,-0.48,-0.34,1.86,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.015,0.000,0.000,0.037,0.000,0.000, ,-0.27,-0.03,1.43,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.037,0.000,0.022,0.022,0.000,0.000, ,-0.16,-0.34,0.69,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.081,0.037,0.022,0.044,0.000,0.000, ,-0.48,-0.56,0.80,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.081,0.029,0.044,0.051,0.022,0.000, ,0.27,0.29,0.37,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.103,0.044,0.022,0.037,0.000,0.000, ,0.16,0.50,-0.05,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.095,0.059,0.066,0.029,0.007,0.000, ,0.16,0.08,0.37,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
