SAP ID,109000173083,
HEADER:,
Substation:,DURG,,SAP Equipment No.:,109000173083,,Test Date :,16-03-2021,,
Bay :,815R  BAY,,Breaker Type :,3AP5FI,,Serial Number :,11299,,
Employee Id :,60020623,,Manufacturer :,SIEMENS,,Gas Pressure :,6.4,,
Oil Pressure :,na,,Air Pressure :,na,,Voltage (kV) :,765,,

SETTINGS :,
Trigger Option :,DCRM,,Sampling Speed (kC) :,5,,Reistance Range uOhm :,8000,,
Plot Length(ms) :,550,,Delay tco (ms) :,300,,Delay toc (ms) :,0,,
Current Range C1(A) :,25,,Current Range C2(A) :,25,,Current Range C3(A) :,25,,
Current Range C4(A) :,10,,Current Range C5(A) :,10,,Current Range C6(A) :,10,,
T1 (mm) :,178.57,,T2 (mm) :,175.46,,T3 (mm) :,169.80,,
T4 (mm) :,172.35,,T5 (mm) :,173.20,,T6 (mm) :,0.00,,

Velocity :,Enabled,,PIR :,Disabled,,Auxiliary :,Disabled,,
Analog Channels :,Enabled,,Linkage Ratio :,2.83,,
Electric Stroke Length T1 :,308,,Electric Stroke Length T2 :,308,,Electric Stroke Length T3 :,308,,
Electric Stroke Length T4 :,308,,Electric Stroke Length T5 :,308,,Electric Stroke Length T6 :,308,,

Velocity Points :,
Close1 :,30,,Open1 :,30,,DefClose :,10,
Close2 :,60,,Open2 :,60,,DefOpen :,10,,

Travel Results	:
Mechanism Travel(T1)(mm) :,63.10,,Mechanism Travel(T2)(mm) :,62.00,,Mechanism Travel(T3)(mm) :,60.00,,
Mechanism Travel(T4)(mm) :,60.90,,Mechanism Travel(T5)(mm) :,61.20,,Mechanism Travel(T6)(mm) :,0.00,,
Contact Travel(T1)(mm) :,178.57,,Contact Travel(T2)(mm) :,175.46,,Contact Travel(T3)(mm) :,169.80,,
Contact Travel(T4)(mm) :,172.35,,Contact Travel(T5)(mm) :,173.20,,Contact Travel(T6)(mm) :,0.00,,
Close - Datum Velocity (m/s)(T1) :,4.01,,Close - Datum Velocity (m/s)(T2) :,3.82,,Close - Datum Velocity (m/s)(T3) :,4.21,,
Close - Datum Velocity (m/s)(T4) :,4.12,,Close - Datum Velocity (m/s)(T5) :,4.27,,Close - Datum Velocity (m/s)(T6) :,0.00,,
Open - Datum Velocity (m/s)(T1) :,7.88,,Open - Datum Velocity (m/s)(T2) :,5.66,,Open - Datum Velocity (m/s)(T3) :,5.71,,
Open - Datum Velocity (m/s)(T4) :,6.63,,Open - Datum Velocity (m/s)(T5) :,7.33,,Open - Datum Velocity (m/s)(T6) :,0.00,,
Close - Over Travel(T1)(mm) :,16.44,,Close - Over Travel(T2)(mm) :,12.33,,Close - Over Travel(T3)(mm) :,12.10,,
Close - Over Travel(T4)(mm) :,15.95,,Close - Over Travel(T5)(mm) :,17.41,,Close - Over Travel(T6)(mm) :,0,,
Open -Rebound(T1)(mm) :,4.62,,Open - Rebound(T2)(mm) :,0.00,,Open -Rebound(T3)(mm) :,0.00,,
Open - Rebound(T4)(mm) :,0.00,,Open - Rebound(T5)(mm) :,0.00,,Open - Rebound(T6)(mm) :,0.00,,
Coil Current (A)(C1) :,1.575,,Coil Current (A)(C2) :,1.502,,Coil Current (A)(C3) :,1.561,,
Coil Current (A)(C4) :,4.988,,Coil Current (A)(C5) :,5.103,,Coil Current (A)(C6) :,5.023,,

,,,,,,,,,,,,,,Close -Velocity (m/s) :,4.17,Close -Velocity (m/s) :,4.12,Close -Velocity (m/s) :,4.18,Close -Velocity (m/s) :,4.04,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,0.00,
,,,,,,,,,,,,,,Open -Velocity (m/s) :,6.86,Open -Velocity (m/s) :,6.86,Open -Velocity (m/s) :,6.32,Open -Velocity (m/s) :,6.36,Open -Velocity (m/s) :,0.52,Open -Velocity (m/s) :,0.52,
,,,,,,,,,,,,,,TR1,,TR1,,TR5,,TR5,,TR3,,TR3,
,,,,,,,,,,,,,,RBreak4,,RBreak3,,RBreak2,,RBreak1,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.000,0.000,0.000,0.051,0.000,0.000, ,0.42,0.00,0.20,0.00,-0.27,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
0.051,0.015,0.007,0.059,0.000,0.000, ,0.42,0.00,0.00,0.00,0.16,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
0.183,0.147,0.161,0.059,0.000,0.000, ,0.35,0.00,0.00,0.00,0.16,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
0.308,0.271,0.293,0.073,0.000,0.000, ,0.06,0.00,0.00,0.00,-0.05,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
0.425,0.374,0.425,0.073,0.000,0.000, ,0.06,0.00,0.00,0.00,-0.12,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
0.542,0.476,0.520,0.051,0.000,0.000, ,-0.02,0.00,0.00,0.00,0.02,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
0.637,0.542,0.601,0.051,0.000,0.000, ,0.06,0.00,0.00,0.00,0.02,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
0.740,0.667,0.725,0.051,0.015,0.000, ,0.06,0.00,0.00,0.00,0.02,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
0.828,0.747,0.791,0.044,0.000,0.000, ,0.06,0.00,0.00,0.00,0.02,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
0.872,0.791,0.865,0.088,0.000,0.000, ,0.13,0.00,0.00,0.00,0.09,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
0.945,0.857,0.945,0.037,0.000,0.000, ,0.20,0.00,0.00,0.00,0.02,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
0.982,0.909,0.989,0.051,0.000,0.000, ,0.06,0.00,0.00,0.00,0.02,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
1.033,0.945,1.026,0.066,0.015,0.007, ,-0.02,0.00,0.00,0.00,0.23,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
1.055,0.960,1.040,0.059,0.000,0.000, ,0.13,0.00,0.00,0.00,0.09,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
1.099,0.996,1.084,0.051,0.000,0.000, ,0.06,0.00,0.00,0.00,-0.05,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
1.128,1.018,1.114,0.066,0.000,0.000, ,0.06,0.00,0.00,0.00,0.09,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
