SAP ID,109000173083,
HEADER:,
Substation:,DURG,,SAP Equipment No.:,109000173083,,Test Date :,16-03-2021,,
Bay :,815R  BAY,,Breaker Type :,3AP5FI,,Serial Number :,11299,,
Employee Id :,60020623,,Manufacturer :,SIEMENS,,Gas Pressure :,6.4,,
Oil Pressure :,na,,Air Pressure :,na,,Voltage (kV) :,765,,

SETTINGS :,
Trigger Option :,DCRM,,Sampling Speed (kC) :,5,,Reistance Range uOhm :,8000,,
Plot Length(ms) :,550,,Delay tco (ms) :,300,,Delay toc (ms) :,0,,
Current Range C1(A) :,25,,Current Range C2(A) :,25,,Current Range C3(A) :,25,,
Current Range C4(A) :,10,,Current Range C5(A) :,10,,Current Range C6(A) :,10,,
T1 (mm) :,0.00,,T2 (mm) :,0.00,,T3 (mm) :,170.65,,
T4 (mm) :,172.35,,T5 (mm) :,173.48,,T6 (mm) :,0.00,,

Velocity :,Enabled,,PIR :,Disabled,,Auxiliary :,Disabled,,
Analog Channels :,Enabled,,Linkage Ratio :,2.83,,
Electric Stroke Length T1 :,308,,Electric Stroke Length T2 :,308,,Electric Stroke Length T3 :,308,,
Electric Stroke Length T4 :,308,,Electric Stroke Length T5 :,308,,Electric Stroke Length T6 :,308,,

Velocity Points :,
Close1 :,30,,Open1 :,30,,DefClose :,10,
Close2 :,60,,Open2 :,60,,DefOpen :,10,,

Travel Results	:
Mechanism Travel(T1)(mm) :,0.00,,Mechanism Travel(T2)(mm) :,0.00,,Mechanism Travel(T3)(mm) :,60.30,,
Mechanism Travel(T4)(mm) :,60.90,,Mechanism Travel(T5)(mm) :,61.30,,Mechanism Travel(T6)(mm) :,0.00,,
Contact Travel(T1)(mm) :,0.00,,Contact Travel(T2)(mm) :,0.00,,Contact Travel(T3)(mm) :,170.65,,
Contact Travel(T4)(mm) :,172.35,,Contact Travel(T5)(mm) :,173.48,,Contact Travel(T6)(mm) :,0.00,,
Close - Datum Velocity (m/s)(T1) :,0.00,,Close - Datum Velocity (m/s)(T2) :,0.00,,Close - Datum Velocity (m/s)(T3) :,4.20,,
Close - Datum Velocity (m/s)(T4) :,4.07,,Close - Datum Velocity (m/s)(T5) :,4.09,,Close - Datum Velocity (m/s)(T6) :,0.00,,
Open - Datum Velocity (m/s)(T1) :,0.00,,Open - Datum Velocity (m/s)(T2) :,0.00,,Open - Datum Velocity (m/s)(T3) :,5.56,,
Open - Datum Velocity (m/s)(T4) :,6.29,,Open - Datum Velocity (m/s)(T5) :,6.96,,Open - Datum Velocity (m/s)(T6) :,0.00,,
Close - Over Travel(T1)(mm) :,0,,Close - Over Travel(T2)(mm) :,0,,Close - Over Travel(T3)(mm) :,11.94,,
Close - Over Travel(T4)(mm) :,15.35,,Close - Over Travel(T5)(mm) :,17.27,,Close - Over Travel(T6)(mm) :,0,,
Open - Rebound(T1)(mm) :,0,,Open - Rebound(T2)(mm) :,0.00,,Open -Rebound(T3)(mm) :,0.00,,
Open - Rebound(T4)(mm) :,0.00,,Open - Rebound(T5)(mm) :,0.00,,Open - Rebound(T6)(mm) :,0.00,,
Coil Current (A)(C1) :,1.649,,Coil Current (A)(C2) :,1.583,,Coil Current (A)(C3) :,0.125,,
Coil Current (A)(C4) :,5.967,,Coil Current (A)(C5) :,6.125,,Coil Current (A)(C6) :,0.023,,

,,,,,,,,,,,,,,Close -Velocity (m/s) :,4.60,Close -Velocity (m/s) :,4.50,Close -Velocity (m/s) :,4.73,Close -Velocity (m/s) :,4.66,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,0.00,
,,,,,,,,,,,,,,Open -Velocity (m/s) :,6.75,Open -Velocity (m/s) :,6.69,Open -Velocity (m/s) :,7.14,Open -Velocity (m/s) :,7.03,Open -Velocity (m/s) :,0.81,Open -Velocity (m/s) :,0.81,
,,,,,,,,,,,,,,TR3,,TR3,,TR4,,TR4,,TR3,,TR3,
,,,,,,,,,,,,,,YBreak4,,YBreak3,,YBreak2,,YBreak1,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.000,0.000,0.000,0.051,0.000,0.000, ,0.00,0.00,0.00,0.00,0.62,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
0.081,0.029,0.000,0.073,0.000,0.000, ,0.00,0.00,0.00,0.00,0.90,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
0.198,0.139,0.000,0.051,0.000,0.000, ,0.00,0.00,0.00,0.00,0.69,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
0.315,0.234,0.000,0.059,0.007,0.000, ,0.00,0.00,0.00,0.00,0.55,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
0.440,0.374,0.000,0.051,0.000,0.000, ,0.00,0.00,0.00,0.00,0.41,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
0.550,0.469,0.000,0.066,0.000,0.000, ,0.00,0.00,0.00,0.00,0.48,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
0.637,0.550,0.000,0.066,0.007,0.007, ,0.00,0.00,0.00,0.00,0.41,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
0.755,0.681,0.007,0.044,0.000,0.000, ,0.00,0.00,0.00,0.00,0.41,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
0.828,0.740,0.000,0.073,0.000,0.000, ,0.00,0.00,0.00,0.00,0.48,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
0.887,0.813,0.000,0.066,0.000,0.000, ,0.00,0.00,0.00,0.00,0.48,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
0.967,0.901,0.007,0.051,0.000,0.000, ,0.00,0.00,0.00,0.00,0.34,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
