SAP ID,109000173083,
HEADER:,
Substation:,DURG,,SAP Equipment No.:,109000173083,,Test Date :,16-03-2021,,
Bay :,815R  BAY,,Breaker Type :,3AP5FI,,Serial Number :,11299,,
Employee Id :,60020623,,Manufacturer :,SIEMENS,,Gas Pressure :,6.4,,
Oil Pressure :,na,,Air Pressure :,na,,Voltage (kV) :,765,,

SETTINGS :,
Trigger Option :,DCRM,,Sampling Speed (kC) :,5,,Reistance Range uOhm :,8000,,
Plot Length(ms) :,550,,Delay tco (ms) :,300,,Delay toc (ms) :,0,,
Current Range C1(A) :,25,,Current Range C2(A) :,25,,Current Range C3(A) :,25,,
Current Range C4(A) :,10,,Current Range C5(A) :,10,,Current Range C6(A) :,10,,
T1 (mm) :,177.72,,T2 (mm) :,171.78,,T3 (mm) :,170.08,,
T4 (mm) :,0.00,,T5 (mm) :,173.20,,T6 (mm) :,0.00,,

Velocity :,Enabled,,PIR :,Disabled,,Auxiliary :,Disabled,,
Analog Channels :,Enabled,,Linkage Ratio :,2.83,,
Electric Stroke Length T1 :,308,,Electric Stroke Length T2 :,308,,Electric Stroke Length T3 :,308,,
Electric Stroke Length T4 :,308,,Electric Stroke Length T5 :,308,,Electric Stroke Length T6 :,308,,

Velocity Points :,
Close1 :,30,,Open1 :,30,,DefClose :,10,
Close2 :,60,,Open2 :,60,,DefOpen :,10,,

Travel Results	:
Mechanism Travel(T1)(mm) :,62.80,,Mechanism Travel(T2)(mm) :,60.70,,Mechanism Travel(T3)(mm) :,60.10,,
Mechanism Travel(T4)(mm) :,0.00,,Mechanism Travel(T5)(mm) :,61.20,,Mechanism Travel(T6)(mm) :,0.00,,
Contact Travel(T1)(mm) :,177.72,,Contact Travel(T2)(mm) :,171.78,,Contact Travel(T3)(mm) :,170.08,,
Contact Travel(T4)(mm) :,0.00,,Contact Travel(T5)(mm) :,173.20,,Contact Travel(T6)(mm) :,0.00,,
Close - Datum Velocity (m/s)(T1) :,3.99,,Close - Datum Velocity (m/s)(T2) :,4.58,,Close - Datum Velocity (m/s)(T3) :,4.21,,
Close - Datum Velocity (m/s)(T4) :,0.00,,Close - Datum Velocity (m/s)(T5) :,4.12,,Close - Datum Velocity (m/s)(T6) :,0.00,,
Open - Datum Velocity (m/s)(T1) :,7.64,,Open - Datum Velocity (m/s)(T2) :,5.94,,Open - Datum Velocity (m/s)(T3) :,5.60,,
Open - Datum Velocity (m/s)(T4) :,0.00,,Open - Datum Velocity (m/s)(T5) :,6.93,,Open - Datum Velocity (m/s)(T6) :,0.00,,
Close - Over Travel(T1)(mm) :,16.56,,Close - Over Travel(T2)(mm) :,11.52,,Close - Over Travel(T3)(mm) :,12.55,,
Close - Over Travel(T4)(mm) :,0,,Close - Over Travel(T5)(mm) :,18.33,,Close - Over Travel(T6)(mm) :,0,,
Open -Rebound(T1)(mm) :,4.52,,Open - Rebound(T2)(mm) :,0.00,,Open -Rebound(T3)(mm) :,0.00,,
Open - Rebound(T4)(mm) :,0.00,,Open - Rebound(T5)(mm) :,0.00,,Open - Rebound(T6)(mm) :,0.00,,
Coil Current (A)(C1) :,1.846,,Coil Current (A)(C2) :,1.495,,Coil Current (A)(C3) :,1.553,,
Coil Current (A)(C4) :,5.023,,Coil Current (A)(C5) :,5.097,,Coil Current (A)(C6) :,5.029,,

,,,,,,,,,,,,,,Close -Velocity (m/s) :,4.13,Close -Velocity (m/s) :,4.18,Close -Velocity (m/s) :,4.69,Close -Velocity (m/s) :,4.69,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,0.00,
,,,,,,,,,,,,,,Open -Velocity (m/s) :,6.67,Open -Velocity (m/s) :,6.83,Open -Velocity (m/s) :,6.87,Open -Velocity (m/s) :,6.96,Open -Velocity (m/s) :,0.49,Open -Velocity (m/s) :,0.49,
,,,,,,,,,,,,,,TR1,,TR1,,TR2,,TR2,,TR3,,TR3,
,,,,,,,,,,,,,,BBreak4,,BBreak3,,BBreak2,,BBreak1,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.000,0.000,0.000,0.051,0.000,0.000, ,0.49,0.00,0.00,0.00,-0.39,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
0.066,0.051,0.029,0.037,0.000,0.000, ,0.49,0.00,0.00,0.00,-0.18,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
0.176,0.161,0.154,0.059,0.000,0.007, ,0.27,0.00,0.00,0.00,-0.25,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
0.315,0.286,0.264,0.051,0.000,0.000, ,0.13,0.00,0.00,0.00,-0.39,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
0.410,0.366,0.359,0.059,0.000,0.000, ,0.13,0.00,0.00,0.00,-0.39,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
0.528,0.498,0.498,0.037,0.000,0.000, ,0.05,0.00,0.00,0.00,-0.32,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
0.615,0.564,0.572,0.059,0.000,0.007, ,0.20,0.00,0.00,0.00,-0.39,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
0.703,0.667,0.645,0.066,0.000,0.000, ,0.13,0.00,0.00,0.00,-0.39,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
0.777,0.747,0.755,0.059,0.000,0.000, ,0.13,0.00,0.00,0.00,-0.61,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
0.865,0.806,0.821,0.073,0.000,0.022, ,0.20,0.00,0.00,0.00,-0.46,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
0.909,0.865,0.879,0.059,0.000,0.007, ,0.13,0.00,0.00,0.00,-0.39,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,
