SAP ID,109000180789,
HEADER:,
Substation:,BAHADURGARH,,SAP Equipment No.:,109000180789,,Test Date :,17-01-2025,,
Bay :,410-  TC 1,,Breaker Type :,GL 316,,Serial Number :,160430,,
Employee Id :,60003424,,Manufacturer :,AREVA,,Gas Pressure :,7.4,,
Oil Pressure :,NA,,Air Pressure :,NA,,Voltage (kV) :,400,,

SETTINGS :,
Trigger Option :,DCRM,,Sampling Speed (kC) :,10,,Reistance Range uOhm :,8000,,
Plot Length(ms) :,400,,Delay tco (ms) :,300,,Delay toc (ms) :,300,,
Current Range C1(A) :,10,,Current Range C2(A) :,10,,Current Range C3(A) :,10,,
Current Range C4(A) :,10,,Current Range C5(A) :,10,,Current Range C6(A) :,10,,
T1 (mm) :,180.90,,T2 (mm) :,0.00,,T3 (mm) :,0.00,,
T4 (mm) :,0.00,,T5 (mm) :,0.00,,T6 (mm) :,0.00,,

Velocity :,Enabled,,PIR :,Disabled,,Auxiliary :,Enabled,,
Analog Channels :,Enabled,,Linkage Ratio :,1.5,,
Electric Stroke Length T1 :,225,,Electric Stroke Length T2 :,0,,Electric Stroke Length T3 :,0,,
Electric Stroke Length T4 :,0,,Electric Stroke Length T5 :,0,,Electric Stroke Length T6 :,0,,

Velocity Points :,
Close1 :,30,,Open1 :,30,,DefClose :,10,
Close2 :,60,,Open2 :,60,,DefOpen :,10,,

Travel Results	:
Mechanism Travel(T1)(mm) :,120.60,,Mechanism Travel(T2)(mm) :,0.00,,Mechanism Travel(T3)(mm) :,0.00,,
Mechanism Travel(T4)(mm) :,0.00,,Mechanism Travel(T5)(mm) :,0.00,,Mechanism Travel(T6)(mm) :,0.00,,
Contact Travel(T1)(mm) :,180.90,,Contact Travel(T2)(mm) :,0.00,,Contact Travel(T3)(mm) :,0.00,,
Contact Travel(T4)(mm) :,0.00,,Contact Travel(T5)(mm) :,0.00,,Contact Travel(T6)(mm) :,0.00,,
Close - Datum Velocity (m/s)(T1) :,3.35,,Close - Datum Velocity (m/s)(T2) :,0.00,,Close - Datum Velocity (m/s)(T3) :,0.00,,
Close - Datum Velocity (m/s)(T4) :,0.00,,Close - Datum Velocity (m/s)(T5) :,0.00,,Close - Datum Velocity (m/s)(T6) :,0.00,,
Open - Datum Velocity (m/s)(T1) :,7.49,,Open - Datum Velocity (m/s)(T2) :,0.00,,Open - Datum Velocity (m/s)(T3) :,0.00,,
Open - Datum Velocity (m/s)(T4) :,0.00,,Open - Datum Velocity (m/s)(T5) :,0.00,,Open - Datum Velocity (m/s)(T6) :,0.00,,
Close - Over Travel(T1)(mm) :,3.66,,Close - Over Travel(T2)(mm) :,0,,Close - Over Travel(T3)(mm) :,0,,
Close - Over Travel(T4)(mm) :,0,,Close - Over Travel(T5)(mm) :,0,,Close - Over Travel(T6)(mm) :,0,,
Open -Rebound(T1)(mm) :,0.53,,Open - Rebound(T2)(mm) :,0.00,,Open -Rebound(T3)(mm) :,0.00,,
Open - Rebound(T4)(mm) :,0.00,,Open - Rebound(T5)(mm) :,0.00,,Open - Rebound(T6)(mm) :,0.00,,
Coil Current (A)(C1) :,1.386,,Coil Current (A)(C2) :,1.360,,Coil Current (A)(C3) :,1.369,,
Coil Current (A)(C4) :,1.421,,Coil Current (A)(C5) :,1.389,,Coil Current (A)(C6) :,1.392,,

,,,,,,,,,,,,,,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,3.79,Close -Velocity (m/s) :,3.80,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,0.00,
,,,,,,,,,,,,,,Open -Velocity (m/s) :,0.00,Open -Velocity (m/s) :,0.00,Open -Velocity (m/s) :,6.90,Open -Velocity (m/s) :,6.69,Open -Velocity (m/s) :,0.00,Open -Velocity (m/s) :,0.00,
,,,,,,,,,,,,,,TR3,,TR3,,TR1,,TR1,,TR3,,TR3,
,,,,,,,,,,,,,,NA,,NA,,BBreak1,,BBreak2,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.000,0.000,0.000,0.003,0.000,0.000, ,0.46,0.00,0.00,0.00,0.00,0.00 ,,8000.00,0.00,7499.88,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,2043.47,0.00,
0.000,0.000,0.000,0.012,0.000,0.000, ,0.23,0.00,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,2043.47,0.00,
0.000,0.000,0.000,0.006,0.003,0.000, ,0.30,0.00,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,2043.47,0.00,
0.023,0.021,0.023,0.000,0.000,0.003, ,0.38,0.00,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,2043.47,0.00,
0.041,0.041,0.050,0.023,0.015,0.000, ,-0.15,0.00,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,2043.47,0.00,
0.091,0.088,0.088,0.018,0.006,0.000, ,0.08,0.00,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,2043.47,0.00,
0.126,0.120,0.117,0.003,0.003,0.000, ,0.08,0.00,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,2043.47,0.00,
0.167,0.161,0.149,0.000,0.000,0.000, ,0.00,0.00,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,2043.47,0.00,
0.199,0.191,0.182,0.012,0.012,0.000, ,0.15,0.00,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,2043.47,0.00,
0.232,0.223,0.223,0.000,0.000,0.000, ,-0.08,0.00,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,2043.47,0.00,
0.267,0.243,0.246,0.003,0.000,0.000, ,-0.08,0.00,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,2213.43,0.00,
