SAP ID,109000181440,
HEADER:,
Substation:,BHIWANI,,SAP Equipment No.:,109000181440,,Test Date :,13-09-2024,,
Bay :,707 main bay,,Breaker Type :,GL318,,Serial Number :,270031,,
Employee Id :,60041611,,Manufacturer :,ALSTOM,,Gas Pressure :,7.4Bar,,
Oil Pressure :,NA,,Air Pressure :,TC1,,Voltage (kV) :,765,,

SETTINGS :,
Trigger Option :,DCRM,,Sampling Speed (kC) :,10,,Reistance Range uOhm :,8000,,
Plot Length(ms) :,400,,Delay tco (ms) :,300,,Delay toc (ms) :,300,,
Current Range C1(A) :,10,,Current Range C2(A) :,10,,Current Range C3(A) :,10,,
Current Range C4(A) :,10,,Current Range C5(A) :,10,,Current Range C6(A) :,10,,
T1 (mm) :,182.48,,T2 (mm) :,180.80,,T3 (mm) :,0.00,,
T4 (mm) :,0.00,,T5 (mm) :,0.00,,T6 (mm) :,0.00,,

Velocity :,Enabled,,PIR :,Enabled,,Auxiliary :,Disabled,,
Analog Channels :,Disabled,,Linkage Ratio :,1.44,,
Electric Stroke Length T1 :,228,,Electric Stroke Length T2 :,228,,Electric Stroke Length T3 :,228,,
Electric Stroke Length T4 :,100,,Electric Stroke Length T5 :,100,,Electric Stroke Length T6 :,100,,

Velocity Points :,
Close1 :,30,,Open1 :,30,,DefClose :,10,
Close2 :,60,,Open2 :,60,,DefOpen :,10,,

Travel Results	:
Mechanism Travel(T1)(mm) :,126.72,,Mechanism Travel(T2)(mm) :,125.55,,Mechanism Travel(T3)(mm) :,0.00,,
Mechanism Travel(T4)(mm) :,0.00,,Mechanism Travel(T5)(mm) :,0.00,,Mechanism Travel(T6)(mm) :,0.00,,
Contact Travel(T1)(mm) :,182.48,,Contact Travel(T2)(mm) :,180.80,,Contact Travel(T3)(mm) :,0.00,,
Contact Travel(T4)(mm) :,0.00,,Contact Travel(T5)(mm) :,0.00,,Contact Travel(T6)(mm) :,0.00,,
Close - Datum Velocity (m/s)(T1) :,0.21,,Close - Datum Velocity (m/s)(T2) :,0.13,,Close - Datum Velocity (m/s)(T3) :,0.00,,
Close - Datum Velocity (m/s)(T4) :,0.00,,Close - Datum Velocity (m/s)(T5) :,0.00,,Close - Datum Velocity (m/s)(T6) :,0.00,,
Open - Datum Velocity (m/s)(T1) :,0.21,,Open - Datum Velocity (m/s)(T2) :,0.12,,Open - Datum Velocity (m/s)(T3) :,0.00,,
Open - Datum Velocity (m/s)(T4) :,0.00,,Open - Datum Velocity (m/s)(T5) :,0.00,,Open - Datum Velocity (m/s)(T6) :,0.00,,
Close - Over Travel(T1)(mm) :,6.98,,Close - Over Travel(T2)(mm) :,5.37,,Close - Over Travel(T3)(mm) :,0,,
Close - Over Travel(T4)(mm) :,0,,Close - Over Travel(T5)(mm) :,0,,Close - Over Travel(T6)(mm) :,0,,
Open -Rebound(T1)(mm) :,0.24,,Open - Rebound(T2)(mm) :,0.32,,Open -Rebound(T3)(mm) :,0.00,,
Open - Rebound(T4)(mm) :,0.00,,Open - Rebound(T5)(mm) :,0.00,,Open - Rebound(T6)(mm) :,0.00,,
Coil Current (A)(C1) :,0.026,,Coil Current (A)(C2) :,0.038,,Coil Current (A)(C3) :,4.569,,
Coil Current (A)(C4) :,0.243,,Coil Current (A)(C5) :,0.029,,Coil Current (A)(C6) :,4.546,,

,,,,,,,,,,,,,,Close -Velocity (m/s) :,3.85,Close -Velocity (m/s) :,3.82,Close -Velocity (m/s) :,3.92,Close -Velocity (m/s) :,3.92,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,0.00,
,,,,,,,,,,,,,,Open -Velocity (m/s) :,7.65,Open -Velocity (m/s) :,7.65,Open -Velocity (m/s) :,6.55,Open -Velocity (m/s) :,6.43,Open -Velocity (m/s) :,0.00,Open -Velocity (m/s) :,0.00,
,,,,,,,,,,,,,,TR1,,TR1,,TR2,,TR2,,TR3,,TR3,
,,,,,,,,,,,,,,BBreak1,,BBreak2,,BBreak3,,BBreak4,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.28,1.32,-3.35,-2.12,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.07,7622.95,20.22,
0.000,0.000,0.000,0.000,0.003,0.000, ,0.20,0.92,-3.35,-2.12,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.92,7595.60,20.26,
0.000,0.000,0.035,0.000,0.000,0.000, ,0.28,1.00,-3.35,-2.12,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.18,7626.86,20.37,
0.000,0.000,0.103,0.000,0.000,0.000, ,0.28,0.92,-3.35,-2.12,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.03,7554.58,20.37,
0.000,0.000,0.211,0.003,0.000,0.000, ,0.36,1.00,-3.35,-2.12,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.89,7669.84,20.37,
0.000,0.000,0.302,0.000,0.000,0.000, ,0.20,0.84,-3.35,-2.12,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.03,7581.93,20.37,
0.000,0.000,0.399,0.000,0.000,0.000, ,0.20,1.00,-3.35,-2.12,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.89,7581.93,20.29,
0.000,0.000,0.519,0.000,0.000,0.000, ,0.20,0.92,-3.35,-2.12,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.14,7638.58,20.29,
0.000,0.000,0.613,0.000,0.000,0.000, ,0.28,1.00,-3.35,-2.12,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.92,7568.25,20.33,
0.000,0.000,0.744,0.000,0.000,0.000, ,0.20,0.92,-3.35,-2.05,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.92,7669.84,20.37,
0.000,0.000,0.862,0.009,0.000,0.000, ,0.28,0.92,-3.35,-1.94,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.07,7554.58,20.40,
0.000,0.000,0.973,0.000,0.000,0.000, ,0.28,0.92,-3.35,-1.80,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.92,7669.84,20.40,
0.000,0.000,1.076,0.000,0.000,0.000, ,0.36,1.08,-3.35,-1.91,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.18,7581.93,20.33,
0.000,0.000,1.190,0.000,0.000,0.000, ,0.28,0.92,-3.35,-1.87,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.92,7552.63,20.33,
0.000,0.000,1.310,0.009,0.000,0.000, ,0.20,0.92,-3.35,-1.66,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.22,7611.23,20.37,
0.000,0.000,1.407,0.000,0.000,0.000, ,0.28,0.84,-3.35,-1.73,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.96,7552.63,20.33,
0.000,0.000,1.509,0.000,0.000,0.000, ,0.28,1.00,-3.35,-1.70,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.89,7654.21,20.29,
0.000,0.003,1.612,0.000,0.000,0.000, ,0.20,0.84,-3.35,-1.66,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.03,7568.25,20.33,
0.000,0.000,1.720,0.000,0.000,0.000, ,0.20,0.92,-3.35,-1.56,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.92,7669.84,20.37,
0.000,0.000,1.846,0.000,0.003,0.000, ,0.28,0.68,-3.35,-1.56,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.22,7595.60,20.33,
0.000,0.000,1.937,0.000,0.000,0.000, ,0.20,1.00,-3.35,-1.52,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.96,7683.52,20.37,
0.000,0.000,2.040,0.000,0.000,0.000, ,0.20,0.92,-3.35,-1.52,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.89,7554.58,20.40,
0.000,0.000,2.169,0.000,0.000,0.000, ,0.20,0.92,-3.35,-1.59,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.25,7554.58,20.37,
0.000,0.000,2.274,0.000,0.006,0.009, ,0.04,0.84,-3.35,-1.56,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.00,7611.23,20.37,
0.000,0.000,2.359,0.003,0.000,0.000, ,0.12,0.84,-3.35,-1.59,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.89,7579.98,20.26,
0.000,0.000,2.485,0.000,0.006,0.003, ,0.12,0.68,-3.35,-1.59,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.03,7638.58,20.29,
0.000,0.000,2.579,0.000,0.000,0.000, ,0.20,0.84,-3.35,-1.59,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.89,7568.25,20.33,
0.000,0.000,2.693,0.003,0.000,0.000, ,0.20,0.68,-3.35,-1.63,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.07,7640.54,20.33,
0.000,0.000,2.790,0.003,0.000,0.009, ,0.28,0.76,-3.35,-1.56,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.92,7554.58,20.37,
0.000,0.000,2.890,0.000,0.000,0.000, ,0.20,0.76,-3.35,-1.56,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.11,7669.84,20.37,
0.000,0.000,2.995,0.003,0.000,0.000, ,0.20,0.84,-3.35,-1.56,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.89,7581.93,20.33,
0.000,0.000,3.095,0.000,0.000,0.000, ,0.20,0.68,-3.35,-1.52,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.18,7525.27,20.37,
0.000,0.000,3.198,0.000,0.000,0.000, ,0.28,0.84,-3.35,-1.56,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.96,7611.23,20.33,
0.000,0.000,3.274,0.000,0.000,0.000, ,0.12,0.60,-3.35,-1.59,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.85,7552.63,20.33,
0.000,0.000,3.344,0.000,0.000,0.003, ,0.04,0.68,-3.35,-1.52,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.07,7710.87,20.29,
0.000,0.000,3.444,0.000,0.000,0.000, ,0.12,0.68,-3.35,-1.56,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.92,7554.58,20.37,
0.000,0.000,3.511,0.000,0.000,0.000, ,0.12,0.68,-3.35,-1.56,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.29,7654.21,20.33,
0.000,0.000,3.576,0.000,0.000,0.000, ,0.12,0.68,-3.35,-1.49,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.96,7597.56,20.37,
0.000,0.000,3.669,0.003,0.000,0.000, ,0.20,0.60,-3.35,-1.52,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.85,7525.27,20.37,
0.000,0.000,3.705,0.000,0.000,0.000, ,0.04,0.60,-3.35,-1.56,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.00,7640.54,20.33,
0.000,0.000,3.769,0.000,0.006,0.003, ,0.20,0.68,-3.35,-1.52,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.85,7566.30,20.29,
0.000,0.000,3.831,0.000,0.000,0.000, ,0.12,0.52,-3.35,-1.49,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.11,7681.56,20.29,
0.000,0.000,3.872,0.006,0.003,0.000, ,0.04,0.60,-3.35,-1.56,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.89,7581.93,20.29,
0.000,0.000,3.919,0.000,0.000,0.000, ,0.20,0.36,-3.35,-1.52,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.25,7640.54,20.33,
0.000,0.000,3.957,0.000,0.000,0.000, ,0.04,0.68,-3.35,-1.49,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.96,7609.28,20.29,
0.000,0.000,3.986,0.000,0.000,0.006, ,0.12,0.44,-3.35,-1.56,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.85,7538.95,20.33,
0.000,0.000,4.012,0.000,0.000,0.000, ,0.04,0.44,-3.35,-1.45,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.22,7611.23,20.37,
0.000,0.000,4.056,0.000,0.000,0.009, ,0.12,0.44,-3.35,-1.52,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.00,7568.25,20.33,
0.000,0.000,4.080,0.003,0.000,0.000, ,0.12,0.44,-3.35,-1.56,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.14,7683.52,20.33,
0.000,0.000,4.059,0.000,0.000,0.000, ,0.20,0.52,-3.35,-1.49,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.92,7581.93,20.33,
0.000,0.000,4.112,0.003,0.000,0.000, ,0.12,0.44,-3.35,-1.56,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.89,7640.54,20.33,
0.000,0.000,4.150,0.000,0.000,0.000, ,0.12,0.44,-3.35,-1.56,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.03,7624.91,20.29,
0.000,0.000,4.162,0.009,0.000,0.000, ,0.20,0.52,-3.35,-1.52,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.89,7552.63,20.29,
0.000,0.000,4.197,0.000,0.000,0.000, ,0.04,0.36,-3.35,-1.59,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,17.11,7624.91,20.33,
0.000,0.000,4.238,0.003,0.000,0.000, ,0.04,0.36,-3.35,-1.49,-1.02,-0.98 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,16.85,7525.27,20.37,
