SAP ID,109000181440,
HEADER:,
Substation:,BHIWANI,,SAP Equipment No.:,109000181440,,Test Date :,29-04-2025,,
Bay :,707 main bay,,Breaker Type :,GL318 CR,,Serial Number :,270031,,
Employee Id :,60041611,,Manufacturer :,AREVA,,Gas Pressure :,7.4Bar,,
Oil Pressure :,TC1,,Air Pressure :,TC1,,Voltage (kV) :,765kV,,

SETTINGS :,
Trigger Option :,DCRM,,Sampling Speed (kC) :,20,,Reistance Range uOhm :,8000,,
Plot Length(ms) :,400,,Delay tco (ms) :,300,,Delay toc (ms) :,300,,
Current Range C1(A) :,10,,Current Range C2(A) :,10,,Current Range C3(A) :,10,,
Current Range C4(A) :,10,,Current Range C5(A) :,10,,Current Range C6(A) :,10,,
T1 (mm) :,177.03,,T2 (mm) :,177.03,,T3 (mm) :,0.00,,
T4 (mm) :,0.00,,T5 (mm) :,0.00,,T6 (mm) :,0.00,,

Velocity :,Enabled,,PIR :,Enabled,,Auxiliary :,Disabled,,
Analog Channels :,Enabled,,Linkage Ratio :,1.44,,
Electric Stroke Length T1 :,228,,Electric Stroke Length T2 :,228,,Electric Stroke Length T3 :,228,,
Electric Stroke Length T4 :,100,,Electric Stroke Length T5 :,100,,Electric Stroke Length T6 :,100,,

Velocity Points :,
Close1 :,30,,Open1 :,30,,DefClose :,10,
Close2 :,60,,Open2 :,60,,DefOpen :,10,,

Travel Results	:
Mechanism Travel(T1)(mm) :,122.94,,Mechanism Travel(T2)(mm) :,122.94,,Mechanism Travel(T3)(mm) :,0.00,,
Mechanism Travel(T4)(mm) :,0.00,,Mechanism Travel(T5)(mm) :,0.00,,Mechanism Travel(T6)(mm) :,0.00,,
Contact Travel(T1)(mm) :,177.03,,Contact Travel(T2)(mm) :,177.03,,Contact Travel(T3)(mm) :,0.00,,
Contact Travel(T4)(mm) :,0.00,,Contact Travel(T5)(mm) :,0.00,,Contact Travel(T6)(mm) :,0.00,,
Close - Datum Velocity (m/s)(T1) :,0.16,,Close - Datum Velocity (m/s)(T2) :,0.17,,Close - Datum Velocity (m/s)(T3) :,0.00,,
Close - Datum Velocity (m/s)(T4) :,0.00,,Close - Datum Velocity (m/s)(T5) :,0.00,,Close - Datum Velocity (m/s)(T6) :,0.00,,
Open - Datum Velocity (m/s)(T1) :,0.16,,Open - Datum Velocity (m/s)(T2) :,0.17,,Open - Datum Velocity (m/s)(T3) :,0.00,,
Open - Datum Velocity (m/s)(T4) :,0.00,,Open - Datum Velocity (m/s)(T5) :,0.00,,Open - Datum Velocity (m/s)(T6) :,0.00,,
Close - Over Travel(T1)(mm) :,5.37,,Close - Over Travel(T2)(mm) :,4.25,,Close - Over Travel(T3)(mm) :,0,,
Close - Over Travel(T4)(mm) :,0,,Close - Over Travel(T5)(mm) :,0,,Close - Over Travel(T6)(mm) :,0,,
Open -Rebound(T1)(mm) :,0.16,,Open - Rebound(T2)(mm) :,0.24,,Open -Rebound(T3)(mm) :,0.00,,
Open - Rebound(T4)(mm) :,0.00,,Open - Rebound(T5)(mm) :,0.00,,Open - Rebound(T6)(mm) :,0.00,,
Coil Current (A)(C1) :,0.214,,Coil Current (A)(C2) :,4.343,,Coil Current (A)(C3) :,0.038,,
Coil Current (A)(C4) :,0.108,,Coil Current (A)(C5) :,4.349,,Coil Current (A)(C6) :,0.023,,

,,,,,,,,,,,,,,Close -Velocity (m/s) :,3.66,Close -Velocity (m/s) :,3.66,Close -Velocity (m/s) :,3.66,Close -Velocity (m/s) :,3.60,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,0.00,
,,,,,,,,,,,,,,Open -Velocity (m/s) :,6.43,Open -Velocity (m/s) :,6.48,Open -Velocity (m/s) :,6.30,Open -Velocity (m/s) :,6.30,Open -Velocity (m/s) :,0.16,Open -Velocity (m/s) :,0.16,
,,,,,,,,,,,,,,TR1,,TR1,,TR2,,TR2,,TR3,,TR3,
,,,,,,,,,,,,,,YBreak1,,YBreak2,,YBreak3,,YBreak4,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.16,0.12,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.16,0.12,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.00,0.20,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.08,0.28,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.000,0.006,0.000,0.000,0.000,0.000, ,0.08,0.28,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.000,0.047,0.000,0.006,0.000,0.000, ,0.00,0.12,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.000,0.076,0.000,0.000,0.000,0.000, ,0.00,0.12,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.000,0.120,0.000,0.000,0.000,0.000, ,0.08,0.12,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.000,0.170,0.000,0.000,0.000,0.000, ,0.08,0.28,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.000,0.193,0.000,0.000,0.000,0.000, ,-0.08,0.20,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
0.000,0.237,0.000,0.006,0.000,0.000, ,0.00,0.12,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,
