SAP ID,109000212914,
HEADER:,
Substation:,pirana,,SAP Equipment No.:,109000212914,,Test Date :,27-11-2024,,
Bay :,202,,Breaker Type :,GL314,,Serial Number :,151368,,
Employee Id :,60070479,,Manufacturer :,AREVA,,Gas Pressure :,7.2,,
Oil Pressure :,N/A,,Air Pressure :,N/A,,Voltage (kV) :,220 KV,,

SETTINGS :,
Trigger Option :,DCRM,,Sampling Speed (kC) :,10,,Reistance Range uOhm :,4000,,
Plot Length(ms) :,1200,,Delay tco (ms) :,1000,,Delay toc (ms) :,100,,
Current Range C1(A) :,25,,Current Range C2(A) :,25,,Current Range C3(A) :,25,,
Current Range C4(A) :,25,,Current Range C5(A) :,25,,Current Range C6(A) :,25,,
T1 (mm) :,186.09,,T2 (mm) :,185.78,,T3 (mm) :,0.00,,
T4 (mm) :,0.00,,T5 (mm) :,0.00,,T6 (mm) :,0.00,,

Velocity :,Enabled,,PIR :,Disabled,,Auxiliary :,Enabled,,
Analog Channels :,Enabled,,Linkage Ratio :,1.44,,
Electric Stroke Length T1 :,225,,Electric Stroke Length T2 :,225,,Electric Stroke Length T3 :,225,,
Electric Stroke Length T4 :,100,,Electric Stroke Length T5 :,100,,Electric Stroke Length T6 :,100,,

Velocity Points :,
Close1 :,30,,Open1 :,30,,DefClose :,0,
Close2 :,60,,Open2 :,60,,DefOpen :,0,,

Travel Results	:
Mechanism Travel(T1)(mm) :,129.23,,Mechanism Travel(T2)(mm) :,129.01,,Mechanism Travel(T3)(mm) :,0.00,,
Mechanism Travel(T4)(mm) :,0.00,,Mechanism Travel(T5)(mm) :,0.00,,Mechanism Travel(T6)(mm) :,0.00,,
Contact Travel(T1)(mm) :,186.09,,Contact Travel(T2)(mm) :,185.78,,Contact Travel(T3)(mm) :,0.00,,
Contact Travel(T4)(mm) :,0.00,,Contact Travel(T5)(mm) :,0.00,,Contact Travel(T6)(mm) :,0.00,,
Close - Datum Velocity (m/s)(T1) :,5.15,,Close - Datum Velocity (m/s)(T2) :,5.11,,Close - Datum Velocity (m/s)(T3) :,0.00,,
Close - Datum Velocity (m/s)(T4) :,0.00,,Close - Datum Velocity (m/s)(T5) :,0.00,,Close - Datum Velocity (m/s)(T6) :,0.00,,
Open - Datum Velocity (m/s)(T1) :,7.79,,Open - Datum Velocity (m/s)(T2) :,6.01,,Open - Datum Velocity (m/s)(T3) :,0.00,,
Open - Datum Velocity (m/s)(T4) :,0.00,,Open - Datum Velocity (m/s)(T5) :,0.00,,Open - Datum Velocity (m/s)(T6) :,0.00,,
Close - Over Travel(T1)(mm) :,0.00,,Close - Over Travel(T2)(mm) :,1.35,,Close - Over Travel(T3)(mm) :,0,,
Close - Over Travel(T4)(mm) :,0,,Close - Over Travel(T5)(mm) :,0,,Close - Over Travel(T6)(mm) :,0,,
Open -Rebound(T1)(mm) :,0.00,,Open - Rebound(T2)(mm) :,0.32,,Open -Rebound(T3)(mm) :,0.00,,
Open - Rebound(T4)(mm) :,0.00,,Open - Rebound(T5)(mm) :,0.00,,Open - Rebound(T6)(mm) :,0.00,,
Coil Current (A)(C1) :,3.759,,Coil Current (A)(C2) :,4.220,,Coil Current (A)(C3) :,0.088,,
Coil Current (A)(C4) :,0.015,,Coil Current (A)(C5) :,0.015,,Coil Current (A)(C6) :,0.015,,

,,,,,,,,,,,,,,Close -Velocity (m/s) :,5.74,Close -Velocity (m/s) :,5.63,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,0.00,
,,,,,,,,,,,,,,Open -Velocity (m/s) :,7.46,Open -Velocity (m/s) :,7.60,Open -Velocity (m/s) :,0.00,Open -Velocity (m/s) :,0.00,Open -Velocity (m/s) :,0.00,Open -Velocity (m/s) :,0.00,
,,,,,,,,,,,,,,TR1,,TR2,,TR3,,TR4,,TR5,,TR6,
,,,,,,,,,,,,,,RBreak1,,YBreak1,,NA,,NA,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.00,-0.04,8.70,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.08,-0.20,0.16,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1581.44,0.00,2222.22,0.00,4000.00,0.00,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.24,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1619.54,0.00,2222.22,0.00,4000.00,0.00,
0.044,0.000,0.000,0.000,0.000,0.000, ,0.32,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1619.54,0.00,2222.22,0.00,4000.00,0.00,
0.139,0.000,0.000,0.000,0.000,0.000, ,0.16,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1581.44,0.00,2222.22,0.00,4000.00,0.00,
0.220,0.000,0.000,0.007,0.000,0.000, ,0.08,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
0.322,0.000,0.000,0.000,0.000,0.000, ,0.16,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1488.64,0.00,2222.22,0.00,4000.00,0.00,
0.403,0.000,0.000,0.000,0.000,0.000, ,0.16,-0.12,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1488.64,0.00,2222.22,0.00,4000.00,0.00,
0.491,0.000,0.000,0.000,0.000,0.000, ,0.16,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1488.64,0.00,2222.22,0.00,4000.00,0.00,
0.601,0.000,0.000,0.000,0.000,0.000, ,0.08,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
0.696,0.000,0.000,0.000,0.000,0.000, ,0.24,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1488.64,0.00,2222.22,0.00,4000.00,0.00,
