SAP ID,109000212914,
HEADER:,
Substation:,pirana,,SAP Equipment No.:,109000212914,,Test Date :,27-11-2024,,
Bay :,202,,Breaker Type :,GL314,,Serial Number :,151368,,
Employee Id :,60070479,,Manufacturer :,AREVA,,Gas Pressure :,7.2,,
Oil Pressure :,N/A,,Air Pressure :,N/A,,Voltage (kV) :,220 KV,,

SETTINGS :,
Trigger Option :,DCRM,,Sampling Speed (kC) :,10,,Reistance Range uOhm :,4000,,
Plot Length(ms) :,450,,Delay tco (ms) :,300,,Delay toc (ms) :,100,,
Current Range C1(A) :,25,,Current Range C2(A) :,25,,Current Range C3(A) :,25,,
Current Range C4(A) :,25,,Current Range C5(A) :,25,,Current Range C6(A) :,25,,
T1 (mm) :,185.46,,T2 (mm) :,186.73,,T3 (mm) :,184.43,,
T4 (mm) :,0.00,,T5 (mm) :,0.00,,T6 (mm) :,0.00,,

Velocity :,Enabled,,PIR :,Disabled,,Auxiliary :,Enabled,,
Analog Channels :,Enabled,,Linkage Ratio :,1.44,,
Electric Stroke Length T1 :,225,,Electric Stroke Length T2 :,225,,Electric Stroke Length T3 :,225,,
Electric Stroke Length T4 :,100,,Electric Stroke Length T5 :,100,,Electric Stroke Length T6 :,100,,

Velocity Points :,
Close1 :,30,,Open1 :,30,,DefClose :,0,
Close2 :,60,,Open2 :,60,,DefOpen :,0,,

Travel Results	:
Mechanism Travel(T1)(mm) :,128.79,,Mechanism Travel(T2)(mm) :,129.67,,Mechanism Travel(T3)(mm) :,128.08,,
Mechanism Travel(T4)(mm) :,0.00,,Mechanism Travel(T5)(mm) :,0.00,,Mechanism Travel(T6)(mm) :,0.00,,
Contact Travel(T1)(mm) :,185.46,,Contact Travel(T2)(mm) :,186.73,,Contact Travel(T3)(mm) :,184.43,,
Contact Travel(T4)(mm) :,0.00,,Contact Travel(T5)(mm) :,0.00,,Contact Travel(T6)(mm) :,0.00,,
Close - Datum Velocity (m/s)(T1) :,5.13,,Close - Datum Velocity (m/s)(T2) :,5.07,,Close - Datum Velocity (m/s)(T3) :,5.17,,
Close - Datum Velocity (m/s)(T4) :,0.00,,Close - Datum Velocity (m/s)(T5) :,0.00,,Close - Datum Velocity (m/s)(T6) :,0.00,,
Open - Datum Velocity (m/s)(T1) :,7.89,,Open - Datum Velocity (m/s)(T2) :,7.47,,Open - Datum Velocity (m/s)(T3) :,6.69,,
Open - Datum Velocity (m/s)(T4) :,0.00,,Open - Datum Velocity (m/s)(T5) :,0.00,,Open - Datum Velocity (m/s)(T6) :,0.00,,
Close - Over Travel(T1)(mm) :,0.00,,Close - Over Travel(T2)(mm) :,1.98,,Close - Over Travel(T3)(mm) :,0.00,,
Close - Over Travel(T4)(mm) :,0,,Close - Over Travel(T5)(mm) :,0,,Close - Over Travel(T6)(mm) :,0,,
Open -Rebound(T1)(mm) :,0.08,,Open - Rebound(T2)(mm) :,0.16,,Open -Rebound(T3)(mm) :,0.40,,
Open - Rebound(T4)(mm) :,0.00,,Open - Rebound(T5)(mm) :,0.00,,Open - Rebound(T6)(mm) :,0.00,,
Coil Current (A)(C1) :,3.722,,Coil Current (A)(C2) :,4.264,,Coil Current (A)(C3) :,0.081,,
Coil Current (A)(C4) :,0.015,,Coil Current (A)(C5) :,0.022,,Coil Current (A)(C6) :,0.029,,

,,,,,,,,,,,,,,Close -Velocity (m/s) :,5.69,Close -Velocity (m/s) :,5.63,Close -Velocity (m/s) :,5.67,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,0.00,
,,,,,,,,,,,,,,Open -Velocity (m/s) :,7.57,Open -Velocity (m/s) :,7.52,Open -Velocity (m/s) :,7.17,Open -Velocity (m/s) :,0.00,Open -Velocity (m/s) :,0.00,Open -Velocity (m/s) :,0.00,
,,,,,,,,,,,,,,TR1,,TR2,,TR3,,TR4,,TR5,,TR6,
,,,,,,,,,,,,,,NA,,NA,,BBreak1,,NA,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.06,0.00,0.67,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.06,0.08,0.12,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.06,0.08,0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
0.066,0.000,0.000,0.000,0.000,0.000, ,-0.02,0.00,-0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
0.139,0.000,0.000,0.000,0.000,0.000, ,0.06,0.08,0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
0.227,0.000,0.000,0.000,0.000,0.000, ,-0.02,0.00,0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
0.300,0.000,0.000,0.000,0.000,0.000, ,-0.02,0.00,0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
0.418,0.000,0.000,0.000,0.000,0.007, ,0.06,0.00,0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
0.498,0.000,0.000,0.000,0.000,0.000, ,-0.02,0.08,0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1073.50,0.00,2570.94,0.00,4000.00,0.00,
0.601,0.000,0.000,0.000,0.007,0.000, ,0.06,0.00,0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
0.681,0.000,0.000,0.000,0.000,0.000, ,0.06,0.00,-0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
