SAP ID,109000256995,
HEADER:,
Substation:,AURANGABAD PGCIL,,SAP Equipment No.:,109000256995,,Test Date :,20-06-2025,,
Bay :,721,,Breaker Type :,LTB800TE4,,Serial Number :,81000060,,
Employee Id :,60021304,,Manufacturer :,ABB,,Gas Pressure :,7.0 BAR,,
Oil Pressure :,na,,Air Pressure :,NA,,Voltage (kV) :,765,,

SETTINGS :,
Trigger Option :,DCRM,,Sampling Speed (kC) :,10,,Reistance Range uOhm :,4000,,
Plot Length(ms) :,500,,Delay tco (ms) :,300,,Delay toc (ms) :,0,,
Current Range C1(A) :,10,,Current Range C2(A) :,10,,Current Range C3(A) :,10,,
Current Range C4(A) :,10,,Current Range C5(A) :,10,,Current Range C6(A) :,10,,
T1 (mm) :,0.00,,T2 (mm) :,158.47,,T3 (mm) :,0.00,,
T4 (mm) :,0.00,,T5 (mm) :,0.00,,T6 (mm) :,0.00,,

Velocity :,Enabled,,PIR :,Disabled,,Auxiliary :,Disabled,,
Analog Channels :,Disabled,,Linkage Ratio :,2.13,,
Electric Stroke Length T1 :,0,,Electric Stroke Length T2 :,308,,Electric Stroke Length T3 :,0,,
Electric Stroke Length T4 :,0,,Electric Stroke Length T5 :,0,,Electric Stroke Length T6 :,0,,

Velocity Points :,
Close1 :,20,,Open1 :,80,,DefClose :,10,
Close2 :,80,,Open2 :,20,,DefOpen :,10,,

Travel Results	:
Mechanism Travel(T1)(mm) :,0.00,,Mechanism Travel(T2)(mm) :,74.40,,Mechanism Travel(T3)(mm) :,0.00,,
Mechanism Travel(T4)(mm) :,0.00,,Mechanism Travel(T5)(mm) :,0.00,,Mechanism Travel(T6)(mm) :,0.00,,
Contact Travel(T1)(mm) :,0.00,,Contact Travel(T2)(mm) :,158.47,,Contact Travel(T3)(mm) :,0.00,,
Contact Travel(T4)(mm) :,0.00,,Contact Travel(T5)(mm) :,0.00,,Contact Travel(T6)(mm) :,0.00,,
Close - Datum Velocity (m/s)(T1) :,0.00,,Close - Datum Velocity (m/s)(T2) :,3.21,,Close - Datum Velocity (m/s)(T3) :,0.00,,
Close - Datum Velocity (m/s)(T4) :,0.00,,Close - Datum Velocity (m/s)(T5) :,0.00,,Close - Datum Velocity (m/s)(T6) :,0.00,,
Open - Datum Velocity (m/s)(T1) :,0.00,,Open - Datum Velocity (m/s)(T2) :,5.02,,Open - Datum Velocity (m/s)(T3) :,0.00,,
Open - Datum Velocity (m/s)(T4) :,0.00,,Open - Datum Velocity (m/s)(T5) :,0.00,,Open - Datum Velocity (m/s)(T6) :,0.00,,
Close - Over Travel(T1)(mm) :,0,,Close - Over Travel(T2)(mm) :,3.22,,Close - Over Travel(T3)(mm) :,0,,
Close - Over Travel(T4)(mm) :,0,,Close - Over Travel(T5)(mm) :,0,,Close - Over Travel(T6)(mm) :,0,,
Open -Rebound(T1)(mm) :,0.00,,Open - Rebound(T2)(mm) :,3.47,,Open -Rebound(T3)(mm) :,0.00,,
Open - Rebound(T4)(mm) :,0.00,,Open - Rebound(T5)(mm) :,0.00,,Open - Rebound(T6)(mm) :,0.00,,
Coil Current (A)(C1) :,0.144,,Coil Current (A)(C2) :,1.081,,Coil Current (A)(C3) :,0.064,,
Coil Current (A)(C4) :,0.053,,Coil Current (A)(C5) :,1.073,,Coil Current (A)(C6) :,0.032,,

,,,,,,,,,,,,,,Close -Velocity (m/s) :,3.34,Close -Velocity (m/s) :,3.34,Close -Velocity (m/s) :,3.37,Close -Velocity (m/s) :,3.37,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,0.00,
,,,,,,,,,,,,,,Open -Velocity (m/s) :,4.98,Open -Velocity (m/s) :,5.00,Open -Velocity (m/s) :,5.07,Open -Velocity (m/s) :,5.07,Open -Velocity (m/s) :,0.87,Open -Velocity (m/s) :,0.87,
,,,,,,,,,,,,,,TR2,,TR2,,TR2,,TR2,,TR2,,TR2,
,,,,,,,,,,,,,,Y-1 CT,,Y-2,,Y-3,,Y-4 iso,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.000,0.000,0.000,0.003,0.000,0.000, ,0.00,-0.29,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.53,4000.00,0.00,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.00,0.08,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.35,4000.00,0.00,
0.000,0.000,0.000,0.003,0.000,0.000, ,0.00,0.08,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.32,4000.00,0.00,
0.000,0.003,0.000,0.000,0.000,0.000, ,0.00,0.14,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.21,4000.00,0.00,
0.000,0.026,0.000,0.006,0.000,0.000, ,0.00,0.08,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.000,0.047,0.000,0.006,0.000,0.000, ,0.00,0.02,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.21,4000.00,0.00,
0.000,0.067,0.000,0.006,0.000,0.003, ,0.00,0.20,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.000,0.082,0.000,0.006,0.000,0.000, ,0.00,-0.05,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.000,0.103,0.000,0.006,0.000,0.000, ,0.00,0.02,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.000,0.120,0.000,0.015,0.003,0.000, ,0.00,-0.05,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.000,0.132,0.000,0.000,0.000,0.000, ,0.00,0.26,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.000,0.152,0.000,0.003,0.000,0.000, ,0.00,0.02,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.21,4000.00,0.00,
0.000,0.170,0.000,0.006,0.003,0.000, ,0.00,0.02,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.28,4000.00,0.00,
0.000,0.188,0.000,0.006,0.000,0.000, ,0.00,-0.05,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.000,0.205,0.000,0.006,0.000,0.000, ,0.00,0.02,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.000,0.229,0.000,0.015,0.003,0.006, ,0.00,0.08,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.000,0.240,0.000,0.003,0.000,0.000, ,0.00,0.02,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.000,0.255,0.000,0.000,0.000,0.000, ,0.00,-0.17,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.000,0.275,0.000,0.006,0.000,0.000, ,0.00,-0.23,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.000,0.293,0.000,0.000,0.000,0.000, ,0.00,-0.05,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.000,0.302,0.000,0.006,0.000,0.000, ,0.00,-0.05,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.000,0.317,0.000,0.000,0.000,0.000, ,0.00,0.26,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.21,4000.00,0.00,
0.000,0.334,0.000,0.006,0.000,0.003, ,0.00,0.08,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.28,4000.00,0.00,
0.000,0.340,0.000,0.000,0.000,0.000, ,0.00,0.14,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.000,0.355,0.000,0.000,0.000,0.000, ,0.00,0.08,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.000,0.366,0.000,0.000,0.000,0.000, ,0.00,0.02,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.000,0.378,0.000,0.006,0.000,0.000, ,0.00,-0.11,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.28,4000.00,0.00,
0.000,0.390,0.000,0.003,0.000,0.000, ,0.00,-0.23,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.000,0.393,0.000,0.003,0.000,0.003, ,0.00,0.08,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.000,0.396,0.000,0.009,0.000,0.000, ,0.00,0.02,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.28,4000.00,0.00,
0.000,0.402,0.000,0.006,0.000,0.000, ,0.00,0.08,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.28,4000.00,0.00,
0.006,0.404,0.000,0.012,0.000,0.000, ,0.00,-0.05,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.000,0.399,0.000,0.003,0.000,0.000, ,0.00,0.02,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.000,0.402,0.000,0.006,0.000,0.000, ,0.00,0.02,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.000,0.399,0.000,0.006,0.000,0.000, ,0.00,-0.05,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.000,0.402,0.000,0.000,0.000,0.000, ,0.00,-0.11,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.000,0.393,0.000,0.000,0.000,0.000, ,0.00,-0.05,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.003,0.387,0.000,0.012,0.006,0.009, ,0.00,0.02,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.28,4000.00,0.00,
0.000,0.384,0.000,0.006,0.009,0.021, ,0.00,0.32,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.000,0.366,0.000,0.000,0.000,0.000, ,0.00,-0.05,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.000,0.360,0.000,0.003,0.000,0.000, ,0.00,0.08,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
0.000,0.358,0.000,0.003,0.000,0.000, ,0.00,0.08,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,18.24,4000.00,0.00,
