SAP ID,109003008528,
HEADER:,
Substation:,CHAMPA,,SAP Equipment No.:,109003008528,,Test Date :,07-10-2021,,
Bay :,709,,Breaker Type :,3AP4FI,,Serial Number :,2013IND11 11727,,
Employee Id :,60020723,,Manufacturer :,SIEMENS,,Gas Pressure :,6.0,,
Oil Pressure :,Nil,,Air Pressure :,Nil,,Voltage (kV) :,765,,

SETTINGS :,
Trigger Option :,DCRM,,Sampling Speed (kC) :,10,,Reistance Range uOhm :,4000,,
Plot Length(ms) :,400,,Delay tco (ms) :,300,,Delay toc (ms) :,300,,
Current Range C1(A) :,25,,Current Range C2(A) :,25,,Current Range C3(A) :,0,,
Current Range C4(A) :,0,,Current Range C5(A) :,0,,Current Range C6(A) :,0,,
T1 (mm) :,0.00,,T2 (mm) :,0.00,,T3 (mm) :,171.14,,
T4 (mm) :,169.22,,T5 (mm) :,0.00,,T6 (mm) :,0.00,,

Velocity :,Enabled,,PIR :,Disabled,,Auxiliary :,Disabled,,
Analog Channels :,Disabled,,Linkage Ratio :,2.83,,
Electric Stroke Length T1 :,0,,Electric Stroke Length T2 :,0,,Electric Stroke Length T3 :,308,,
Electric Stroke Length T4 :,308,,Electric Stroke Length T5 :,0,,Electric Stroke Length T6 :,0,,

Velocity Points :,
Close1 :,20,,Open1 :,80,,DefClose :,10,
Close2 :,80,,Open2 :,20,,DefOpen :,10,,

Travel Results	:
Mechanism Travel(T1)(mm) :,0.00,,Mechanism Travel(T2)(mm) :,0.00,,Mechanism Travel(T3)(mm) :,60.47,,
Mechanism Travel(T4)(mm) :,59.79,,Mechanism Travel(T5)(mm) :,0.00,,Mechanism Travel(T6)(mm) :,0.00,,
Contact Travel(T1)(mm) :,0.00,,Contact Travel(T2)(mm) :,0.00,,Contact Travel(T3)(mm) :,171.14,,
Contact Travel(T4)(mm) :,169.22,,Contact Travel(T5)(mm) :,0.00,,Contact Travel(T6)(mm) :,0.00,,
Close - Datum Velocity (m/s)(T1) :,0.00,,Close - Datum Velocity (m/s)(T2) :,0.00,,Close - Datum Velocity (m/s)(T3) :,3.27,,
Close - Datum Velocity (m/s)(T4) :,3.35,,Close - Datum Velocity (m/s)(T5) :,0.00,,Close - Datum Velocity (m/s)(T6) :,0.00,,
Open - Datum Velocity (m/s)(T1) :,0.00,,Open - Datum Velocity (m/s)(T2) :,0.00,,Open - Datum Velocity (m/s)(T3) :,4.96,,
Open - Datum Velocity (m/s)(T4) :,4.97,,Open - Datum Velocity (m/s)(T5) :,0.00,,Open - Datum Velocity (m/s)(T6) :,0.00,,
Close - Over Travel(T1)(mm) :,0,,Close - Over Travel(T2)(mm) :,0,,Close - Over Travel(T3)(mm) :,12.56,,
Close - Over Travel(T4)(mm) :,8.73,,Close - Over Travel(T5)(mm) :,0,,Close - Over Travel(T6)(mm) :,0,,
Open -Rebound(T1)(mm) :,0.00,,Open - Rebound(T2)(mm) :,0.00,,Open -Rebound(T3)(mm) :,2.98,,
Open - Rebound(T4)(mm) :,4.68,,Open - Rebound(T5)(mm) :,0.00,,Open - Rebound(T6)(mm) :,0.00,,
Coil Current (A)(C1) :,4.125,,Coil Current (A)(C2) :,19.343,,Coil Current (A)(C3) :,0.000,,
Coil Current (A)(C4) :,0.000,,Coil Current (A)(C5) :,0.000,,Coil Current (A)(C6) :,0.000,,

,,,,,,,,,,,,,,Close -Velocity (m/s) :,3.68,Close -Velocity (m/s) :,3.66,Close -Velocity (m/s) :,3.64,Close -Velocity (m/s) :,3.36,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,0.00,
,,,,,,,,,,,,,,Open -Velocity (m/s) :,6.58,Open -Velocity (m/s) :,6.58,Open -Velocity (m/s) :,6.26,Open -Velocity (m/s) :,6.26,Open -Velocity (m/s) :,0.00,Open -Velocity (m/s) :,0.00,
,,,,,,,,,,,,,,TR3,,TR3,,TR4,,TR4,,TR5,,TR6,
,,,,,,,,,,,,,,YBreak1,,YBreak2,,YBreak3,,YBreak4,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.088,0.000,0.000,0.037,0.000,0.000, ,0.00,0.00,-0.90,0.43,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.86,
0.095,0.000,0.000,0.037,0.000,0.000, ,0.00,0.00,-0.48,0.21,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.90,
0.110,0.000,0.000,0.022,0.000,0.000, ,0.00,0.00,0.16,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.94,
0.147,0.007,0.000,0.044,0.000,0.000, ,0.00,0.00,0.80,-0.21,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.86,
0.183,0.007,0.000,0.029,0.000,0.000, ,0.00,0.00,0.37,-0.43,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.90,
0.205,0.015,0.000,0.029,0.000,0.000, ,0.00,0.00,1.44,-0.43,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.94,
0.242,0.000,0.000,0.037,0.000,0.000, ,0.00,0.00,0.80,-0.43,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.90,
0.278,0.000,0.000,0.037,0.000,0.000, ,0.00,0.00,0.59,-0.43,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.90,
0.300,0.000,0.000,0.015,0.000,0.000, ,0.00,0.00,0.59,-0.43,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.94,
0.352,0.000,0.000,0.022,0.000,0.000, ,0.00,0.00,0.80,-0.64,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.94,
0.410,0.000,0.000,0.022,0.000,0.000, ,0.00,0.00,0.37,-0.43,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.90,
