SAP ID,109003008528,
HEADER:,
Substation:,CHAMPA,,SAP Equipment No.:,109003008528,,Test Date :,07-10-2021,,
Bay :,709,,Breaker Type :,3AP4FI,,Serial Number :,2013IND11 11727,,
Employee Id :,60020723,,Manufacturer :,SIEMENS,,Gas Pressure :,6.0,,
Oil Pressure :,Nil,,Air Pressure :,Nil,,Voltage (kV) :,765,,

SETTINGS :,
Trigger Option :,DCRM,,Sampling Speed (kC) :,10,,Reistance Range uOhm :,4000,,
Plot Length(ms) :,400,,Delay tco (ms) :,300,,Delay toc (ms) :,300,,
Current Range C1(A) :,25,,Current Range C2(A) :,25,,Current Range C3(A) :,0,,
Current Range C4(A) :,0,,Current Range C5(A) :,0,,Current Range C6(A) :,0,,
T1 (mm) :,0.00,,T2 (mm) :,0.00,,T3 (mm) :,0.00,,
T4 (mm) :,0.00,,T5 (mm) :,173.26,,T6 (mm) :,173.48,,

Velocity :,Enabled,,PIR :,Disabled,,Auxiliary :,Disabled,,
Analog Channels :,Disabled,,Linkage Ratio :,2.83,,
Electric Stroke Length T1 :,0,,Electric Stroke Length T2 :,0,,Electric Stroke Length T3 :,0,,
Electric Stroke Length T4 :,0,,Electric Stroke Length T5 :,308,,Electric Stroke Length T6 :,308,,

Velocity Points :,
Close1 :,20,,Open1 :,80,,DefClose :,10,
Close2 :,80,,Open2 :,20,,DefOpen :,10,,

Travel Results	:
Mechanism Travel(T1)(mm) :,0.00,,Mechanism Travel(T2)(mm) :,0.00,,Mechanism Travel(T3)(mm) :,0.00,,
Mechanism Travel(T4)(mm) :,0.00,,Mechanism Travel(T5)(mm) :,61.22,,Mechanism Travel(T6)(mm) :,61.30,,
Contact Travel(T1)(mm) :,0.00,,Contact Travel(T2)(mm) :,0.00,,Contact Travel(T3)(mm) :,0.00,,
Contact Travel(T4)(mm) :,0.00,,Contact Travel(T5)(mm) :,173.26,,Contact Travel(T6)(mm) :,173.48,,
Close - Datum Velocity (m/s)(T1) :,0.00,,Close - Datum Velocity (m/s)(T2) :,0.00,,Close - Datum Velocity (m/s)(T3) :,0.00,,
Close - Datum Velocity (m/s)(T4) :,0.00,,Close - Datum Velocity (m/s)(T5) :,3.27,,Close - Datum Velocity (m/s)(T6) :,3.45,,
Open - Datum Velocity (m/s)(T1) :,0.00,,Open - Datum Velocity (m/s)(T2) :,0.00,,Open - Datum Velocity (m/s)(T3) :,0.00,,
Open - Datum Velocity (m/s)(T4) :,0.00,,Open - Datum Velocity (m/s)(T5) :,5.07,,Open - Datum Velocity (m/s)(T6) :,4.79,,
Close - Over Travel(T1)(mm) :,0,,Close - Over Travel(T2)(mm) :,0,,Close - Over Travel(T3)(mm) :,0,,
Close - Over Travel(T4)(mm) :,0,,Close - Over Travel(T5)(mm) :,11.92,,Close - Over Travel(T6)(mm) :,13.41,,
Open -Rebound(T1)(mm) :,0.00,,Open - Rebound(T2)(mm) :,0.00,,Open -Rebound(T3)(mm) :,0.00,,
Open - Rebound(T4)(mm) :,0.00,,Open - Rebound(T5)(mm) :,3.62,,Open - Rebound(T6)(mm) :,1.49,,
Coil Current (A)(C1) :,4.132,,Coil Current (A)(C2) :,19.256,,Coil Current (A)(C3) :,0.000,,
Coil Current (A)(C4) :,0.000,,Coil Current (A)(C5) :,0.000,,Coil Current (A)(C6) :,0.000,,

,,,,,,,,,,,,,,Close -Velocity (m/s) :,3.85,Close -Velocity (m/s) :,3.81,Close -Velocity (m/s) :,3.81,Close -Velocity (m/s) :,3.66,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,0.00,
,,,,,,,,,,,,,,Open -Velocity (m/s) :,6.73,Open -Velocity (m/s) :,6.75,Open -Velocity (m/s) :,6.22,Open -Velocity (m/s) :,6.24,Open -Velocity (m/s) :,0.47,Open -Velocity (m/s) :,0.62,
,,,,,,,,,,,,,,TR5,,TR5,,TR6,,TR6,,TR5,,TR6,
,,,,,,,,,,,,,,BBreak1,,BBreak2,,BBreak3,,BBreak4,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.073,0.000,0.000,0.015,0.000,0.000, ,0.00,0.00,0.00,0.00,0.21,0.16 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.25,
0.103,0.000,0.000,0.044,0.000,0.000, ,0.00,0.00,0.00,0.00,0.21,-0.48 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
0.117,0.000,0.000,0.066,0.000,0.000, ,0.00,0.00,0.00,0.00,0.64,-0.05 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
0.176,0.000,0.000,0.029,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.85,0.37 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
0.256,0.037,0.000,0.059,0.000,0.000, ,0.00,0.00,0.00,0.00,-1.49,1.01 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
0.315,0.000,0.000,0.037,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.43,0.16 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.32,
0.396,0.000,0.000,0.044,0.000,0.000, ,0.00,0.00,0.00,0.00,1.06,-0.69 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.32,
0.476,0.000,0.000,0.029,0.000,0.000, ,0.00,0.00,0.00,0.00,0.64,0.16 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.32,
0.601,0.000,0.000,0.044,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.64,0.59 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.25,
0.725,0.015,0.000,0.044,0.000,0.000, ,0.00,0.00,0.00,0.00,0.00,-0.27 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
0.821,0.000,0.000,0.073,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.64,0.37 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.25,
