SAP ID,109003040913,
HEADER:,
Substation:,Rourkela,,SAP Equipment No.:,109003040913,,Test Date :,04-03-2024,,
Bay :,H2252,,Breaker Type :,SPRING-SPRING,,Serial Number :,35144885,,
Employee Id :,60065181,,Manufacturer :,SIEMENS,,Gas Pressure :,5.9,,
Oil Pressure :,00,,Air Pressure :,00,,Voltage (kV) :,52,,

SETTINGS :,
Trigger Option :,DCRM,,Sampling Speed (kC) :,10,,Reistance Range uOhm :,8000,,
Plot Length(ms) :,600,,Delay tco (ms) :,300,,Delay toc (ms) :,300,,
Current Range C1(A) :,25,,Current Range C2(A) :,25,,Current Range C3(A) :,25,,
Current Range C4(A) :,25,,Current Range C5(A) :,25,,Current Range C6(A) :,25,,
T1 (mm) :,153.25,,T2 (mm) :,155.25,,T3 (mm) :,148.25,,
T4 (mm) :,0.00,,T5 (mm) :,0.00,,T6 (mm) :,0.00,,

Velocity :,Enabled,,PIR :,Disabled,,Auxiliary :,Enabled,,
Analog Channels :,Enabled,,Linkage Ratio :,2.5,,
Electric Stroke Length T1 :,308,,Electric Stroke Length T2 :,308,,Electric Stroke Length T3 :,308,,
Electric Stroke Length T4 :,0,,Electric Stroke Length T5 :,0,,Electric Stroke Length T6 :,0,,

Velocity Points :,
Close1 :,20,,Open1 :,80,,DefClose :,10,
Close2 :,80,,Open2 :,20,,DefOpen :,10,,

Travel Results	:
Mechanism Travel(T1)(mm) :,61.30,,Mechanism Travel(T2)(mm) :,62.10,,Mechanism Travel(T3)(mm) :,59.30,,
Mechanism Travel(T4)(mm) :,0.00,,Mechanism Travel(T5)(mm) :,0.00,,Mechanism Travel(T6)(mm) :,0.00,,
Contact Travel(T1)(mm) :,153.25,,Contact Travel(T2)(mm) :,155.25,,Contact Travel(T3)(mm) :,148.25,,
Contact Travel(T4)(mm) :,0.00,,Contact Travel(T5)(mm) :,0.00,,Contact Travel(T6)(mm) :,0.00,,
Close - Datum Velocity (m/s)(T1) :,2.83,,Close - Datum Velocity (m/s)(T2) :,2.80,,Close - Datum Velocity (m/s)(T3) :,2.74,,
Close - Datum Velocity (m/s)(T4) :,0.00,,Close - Datum Velocity (m/s)(T5) :,0.00,,Close - Datum Velocity (m/s)(T6) :,0.00,,
Open - Datum Velocity (m/s)(T1) :,5.42,,Open - Datum Velocity (m/s)(T2) :,5.36,,Open - Datum Velocity (m/s)(T3) :,5.25,,
Open - Datum Velocity (m/s)(T4) :,0.00,,Open - Datum Velocity (m/s)(T5) :,0.00,,Open - Datum Velocity (m/s)(T6) :,0.00,,
Close - Over Travel(T1)(mm) :,13.41,,Close - Over Travel(T2)(mm) :,18.26,,Close - Over Travel(T3)(mm) :,10.90,,
Close - Over Travel(T4)(mm) :,0,,Close - Over Travel(T5)(mm) :,0,,Close - Over Travel(T6)(mm) :,0,,
Open -Rebound(T1)(mm) :,8.05,,Open - Rebound(T2)(mm) :,5.28,,Open -Rebound(T3)(mm) :,7.14,,
Open - Rebound(T4)(mm) :,0.00,,Open - Rebound(T5)(mm) :,0.00,,Open - Rebound(T6)(mm) :,0.00,,
Coil Current (A)(C1) :,1.575,,Coil Current (A)(C2) :,1.363,,Coil Current (A)(C3) :,1.341,,
Coil Current (A)(C4) :,1.048,,Coil Current (A)(C5) :,1.817,,Coil Current (A)(C6) :,2.667,,

,,,,,,,,,,,,,,Close -Velocity (m/s) :,3.47,Close -Velocity (m/s) :,3.54,Close -Velocity (m/s) :,3.49,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,0.00,
,,,,,,,,,,,,,,Open -Velocity (m/s) :,5.52,Open -Velocity (m/s) :,5.38,Open -Velocity (m/s) :,5.56,Open -Velocity (m/s) :,0.32,Open -Velocity (m/s) :,0.13,Open -Velocity (m/s) :,0.13,
,,,,,,,,,,,,,,TR1,,TR1,,TR2,,TR2,,TR3,,TR3,
,,,,,,,,,,,,,,RBreak1,,YBreak1,,BBreak1,,NA,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.000,0.000,0.000,0.000,0.000,0.000, ,-0.38,-0.51,3.29,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,20.00,8000.00,36.15,
0.015,0.000,0.000,0.059,0.000,0.015, ,0.38,0.91,-1.22,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,20.18,8000.00,36.19,
0.066,0.000,0.081,0.029,0.000,0.000, ,0.38,0.51,0.28,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,20.22,8000.00,36.23,
0.139,0.015,0.088,0.007,0.000,0.000, ,-0.38,0.51,-0.47,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,20.18,8000.00,36.23,
0.154,0.037,0.169,0.029,0.000,0.000, ,0.77,0.71,-0.66,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,20.22,8000.00,36.19,
0.220,0.095,0.154,0.022,0.000,0.000, ,0.57,1.12,-1.22,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,20.18,8000.00,36.19,
0.264,0.183,0.242,0.022,0.000,0.000, ,0.19,0.51,1.03,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,20.22,8000.00,36.15,
0.286,0.234,0.249,0.000,0.000,0.000, ,0.19,0.71,-0.47,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,20.18,8000.00,36.15,
0.322,0.315,0.242,0.037,0.000,0.000, ,-0.77,-1.52,0.09,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,20.22,8000.00,36.12,
0.352,0.330,0.315,0.059,0.000,0.000, ,0.19,0.71,0.28,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,20.29,8000.00,36.19,
0.374,0.396,0.293,0.007,0.000,0.000, ,-1.34,-1.93,0.66,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,20.18,8000.00,36.12,
0.366,0.403,0.322,0.007,0.000,0.000, ,0.77,0.30,-0.47,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,20.26,8000.00,36.26,
0.388,0.440,0.308,0.015,0.000,0.000, ,-0.38,-0.91,-1.03,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,20.18,8000.00,36.15,
0.396,0.447,0.352,0.000,0.000,0.000, ,-0.96,-1.93,1.22,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,20.26,8000.00,36.23,
0.396,0.454,0.337,0.022,0.000,0.000, ,0.19,0.71,-1.60,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,20.18,8000.00,36.08,
