SAP ID,109003049946,
HEADER:,
Substation:,DURG PS MEDESARA,,SAP Equipment No.:,109003049946,,Test Date :,21-02-2022,,
Bay :,765KV JHAR-1 RCTR BAY,,Breaker Type :,GL318,,Serial Number :,313097,,
Employee Id :,60021297,,Manufacturer :,GE,,Gas Pressure :,0.71MPa,,
Oil Pressure :,NIL,,Air Pressure :,NA,,Voltage (kV) :,765,,

SETTINGS :,
Trigger Option :,DCRM,,Sampling Speed (kC) :,10,,Reistance Range uOhm :,4000,,
Plot Length(ms) :,500,,Delay tco (ms) :,300,,Delay toc (ms) :,300,,
Current Range C1(A) :,5,,Current Range C2(A) :,5,,Current Range C3(A) :,5,,
Current Range C4(A) :,10,,Current Range C5(A) :,10,,Current Range C6(A) :,10,,
T1 (mm) :,191.36,,T2 (mm) :,187.66,,T3 (mm) :,190.77,,
T4 (mm) :,0.00,,T5 (mm) :,0.00,,T6 (mm) :,0.00,,

Velocity :,Enabled,,PIR :,Disabled,,Auxiliary :,Enabled,,
Analog Channels :,Disabled,,Linkage Ratio :,1.48,,
Electric Stroke Length T1 :,225,,Electric Stroke Length T2 :,225,,Electric Stroke Length T3 :,225,,
Electric Stroke Length T4 :,270,,Electric Stroke Length T5 :,270,,Electric Stroke Length T6 :,270,,

Velocity Points :,
Close1 :,30,,Open1 :,30,,DefClose :,10,
Close2 :,60,,Open2 :,60,,DefOpen :,10,,

Travel Results	:
Mechanism Travel(T1)(mm) :,129.30,,Mechanism Travel(T2)(mm) :,126.80,,Mechanism Travel(T3)(mm) :,128.90,,
Mechanism Travel(T4)(mm) :,0.00,,Mechanism Travel(T5)(mm) :,0.00,,Mechanism Travel(T6)(mm) :,0.00,,
Contact Travel(T1)(mm) :,191.36,,Contact Travel(T2)(mm) :,187.66,,Contact Travel(T3)(mm) :,190.77,,
Contact Travel(T4)(mm) :,0.00,,Contact Travel(T5)(mm) :,0.00,,Contact Travel(T6)(mm) :,0.00,,
Close - Datum Velocity (m/s)(T1) :,3.49,,Close - Datum Velocity (m/s)(T2) :,3.62,,Close - Datum Velocity (m/s)(T3) :,3.45,,
Close - Datum Velocity (m/s)(T4) :,0.00,,Close - Datum Velocity (m/s)(T5) :,0.00,,Close - Datum Velocity (m/s)(T6) :,0.00,,
Open - Datum Velocity (m/s)(T1) :,6.38,,Open - Datum Velocity (m/s)(T2) :,7.79,,Open - Datum Velocity (m/s)(T3) :,7.07,,
Open - Datum Velocity (m/s)(T4) :,0.00,,Open - Datum Velocity (m/s)(T5) :,0.00,,Open - Datum Velocity (m/s)(T6) :,0.00,,
Close - Over Travel(T1)(mm) :,6.64,,Close - Over Travel(T2)(mm) :,2.08,,Close - Over Travel(T3)(mm) :,6.36,,
Close - Over Travel(T4)(mm) :,0,,Close - Over Travel(T5)(mm) :,0,,Close - Over Travel(T6)(mm) :,0,,
Open -Rebound(T1)(mm) :,0.66,,Open - Rebound(T2)(mm) :,0.42,,Open -Rebound(T3)(mm) :,1.88,,
Open - Rebound(T4)(mm) :,0.00,,Open - Rebound(T5)(mm) :,0.00,,Open - Rebound(T6)(mm) :,0.00,,
Coil Current (A)(C1) :,3.832,,Coil Current (A)(C2) :,3.848,,Coil Current (A)(C3) :,3.872,,
Coil Current (A)(C4) :,3.813,,Coil Current (A)(C5) :,3.834,,Coil Current (A)(C6) :,3.819,,

,,,,,,,,,,,,,,Close -Velocity (m/s) :,3.78,Close -Velocity (m/s) :,3.73,Close -Velocity (m/s) :,3.71,Close -Velocity (m/s) :,3.68,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,0.00,
,,,,,,,,,,,,,,Open -Velocity (m/s) :,6.46,Open -Velocity (m/s) :,6.46,Open -Velocity (m/s) :,6.46,Open -Velocity (m/s) :,6.44,Open -Velocity (m/s) :,0.07,Open -Velocity (m/s) :,0.07,
,,,,,,,,,,,,,,TR1,,TR1,,TR1,,TR1,,TR3,,TR3,
,,,,,,,,,,,,,,RBreak4,,RBreak3,,RBreak2,,RBreak1,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.90,1.41,4.75,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.25,0.66,0.67,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
0.015,0.047,0.047,0.000,0.001,0.000, ,0.08,0.25,0.35,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
0.101,0.117,0.117,0.000,0.000,0.000, ,-0.08,0.25,0.27,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
0.196,0.201,0.201,0.000,0.000,0.001, ,-0.08,0.08,0.27,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
0.303,0.297,0.293,0.000,0.000,0.001, ,0.08,0.25,0.35,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,0.00,
0.416,0.397,0.393,0.000,0.001,0.001, ,0.00,0.33,0.35,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
0.526,0.506,0.498,0.000,0.000,0.000, ,-0.16,0.25,0.18,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
0.640,0.613,0.605,0.000,0.000,0.000, ,0.00,0.25,0.27,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
0.756,0.725,0.717,0.000,0.000,0.000, ,0.00,0.25,0.27,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
0.870,0.832,0.821,0.000,0.000,0.000, ,0.00,0.33,0.18,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
0.977,0.941,0.931,0.000,0.000,0.000, ,0.16,0.08,0.10,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,0.00,4000.00,0.00,
1.086,1.046,1.038,0.000,0.000,0.000, ,-0.08,0.08,0.27,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
1.190,1.152,1.140,0.000,0.000,0.000, ,0.08,0.33,0.10,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
1.295,1.253,1.246,0.001,0.001,0.000, ,0.00,0.17,0.10,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,0.00,4000.00,0.00,
1.397,1.360,1.348,0.000,0.000,0.000, ,0.08,0.66,0.35,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
1.498,1.461,1.449,0.000,0.000,0.000, ,-0.25,0.17,0.02,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
1.602,1.561,1.547,0.000,0.000,0.000, ,0.00,0.25,0.02,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
1.697,1.659,1.650,0.000,0.000,0.000, ,0.00,0.25,0.18,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
1.794,1.756,1.747,0.000,0.000,0.000, ,0.16,0.50,0.10,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,0.00,
1.887,1.852,1.842,0.000,0.000,0.001, ,0.08,0.42,0.10,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
1.977,1.948,1.937,0.000,0.000,0.000, ,-0.08,0.08,0.10,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,0.00,4000.00,0.00,
2.072,2.043,2.033,0.000,0.000,0.000, ,0.00,0.17,0.27,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
2.159,2.128,2.119,0.001,0.001,0.000, ,0.00,0.00,0.18,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
