SAP ID,109003054744,
HEADER:,
Substation:,JEYPURSS,,SAP Equipment No.:,109003054744,,Test Date :,05-03-2024,,
Bay :,J22 (MSR-2),,Breaker Type :,3AP1FI,,Serial Number :,35144883,,
Employee Id :,60021081,,Manufacturer :,SIEMENS,,Gas Pressure :,6.6,,
Oil Pressure :,00,,Air Pressure :,00,,Voltage (kV) :,52,,

SETTINGS :,
Trigger Option :,DCRM,,Sampling Speed (kC) :,10,,Reistance Range uOhm :,8000,,
Plot Length(ms) :,1000,,Delay tco (ms) :,600,,Delay toc (ms) :,150,,
Current Range C1(A) :,25,,Current Range C2(A) :,25,,Current Range C3(A) :,25,,
Current Range C4(A) :,25,,Current Range C5(A) :,25,,Current Range C6(A) :,25,,
T1 (mm) :,152.02,,T2 (mm) :,154.01,,T3 (mm) :,147.06,,
T4 (mm) :,0.00,,T5 (mm) :,0.00,,T6 (mm) :,0.00,,

Velocity :,Enabled,,PIR :,Disabled,,Auxiliary :,Enabled,,
Analog Channels :,Enabled,,Linkage Ratio :,2.48,,
Electric Stroke Length T1 :,308,,Electric Stroke Length T2 :,308,,Electric Stroke Length T3 :,308,,
Electric Stroke Length T4 :,0,,Electric Stroke Length T5 :,0,,Electric Stroke Length T6 :,0,,

Velocity Points :,
Close1 :,30,,Open1 :,30,,DefClose :,10,
Close2 :,60,,Open2 :,60,,DefOpen :,10,,

Travel Results	:
Mechanism Travel(T1)(mm) :,61.30,,Mechanism Travel(T2)(mm) :,62.10,,Mechanism Travel(T3)(mm) :,59.30,,
Mechanism Travel(T4)(mm) :,0.00,,Mechanism Travel(T5)(mm) :,0.00,,Mechanism Travel(T6)(mm) :,0.00,,
Contact Travel(T1)(mm) :,152.02,,Contact Travel(T2)(mm) :,154.01,,Contact Travel(T3)(mm) :,147.06,,
Contact Travel(T4)(mm) :,0.00,,Contact Travel(T5)(mm) :,0.00,,Contact Travel(T6)(mm) :,0.00,,
Close - Datum Velocity (m/s)(T1) :,3.50,,Close - Datum Velocity (m/s)(T2) :,3.20,,Close - Datum Velocity (m/s)(T3) :,3.03,,
Close - Datum Velocity (m/s)(T4) :,0.00,,Close - Datum Velocity (m/s)(T5) :,0.00,,Close - Datum Velocity (m/s)(T6) :,0.00,,
Open - Datum Velocity (m/s)(T1) :,5.70,,Open - Datum Velocity (m/s)(T2) :,5.70,,Open - Datum Velocity (m/s)(T3) :,5.29,,
Open - Datum Velocity (m/s)(T4) :,0.00,,Open - Datum Velocity (m/s)(T5) :,0.00,,Open - Datum Velocity (m/s)(T6) :,0.00,,
Close - Over Travel(T1)(mm) :,17.71,,Close - Over Travel(T2)(mm) :,15.61,,Close - Over Travel(T3)(mm) :,15.82,,
Close - Over Travel(T4)(mm) :,0,,Close - Over Travel(T5)(mm) :,0,,Close - Over Travel(T6)(mm) :,0,,
Open -Rebound(T1)(mm) :,6.09,,Open - Rebound(T2)(mm) :,8.09,,Open -Rebound(T3)(mm) :,7.19,,
Open - Rebound(T4)(mm) :,0.00,,Open - Rebound(T5)(mm) :,0.00,,Open - Rebound(T6)(mm) :,0.00,,
Coil Current (A)(C1) :,2.074,,Coil Current (A)(C2) :,1.436,,Coil Current (A)(C3) :,1.934,,
Coil Current (A)(C4) :,1.114,,Coil Current (A)(C5) :,1.077,,Coil Current (A)(C6) :,1.561,,

,,,,,,,,,,,,,,Close -Velocity (m/s) :,3.49,Close -Velocity (m/s) :,3.52,Close -Velocity (m/s) :,3.36,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,0.00,
,,,,,,,,,,,,,,Open -Velocity (m/s) :,5.50,Open -Velocity (m/s) :,5.51,Open -Velocity (m/s) :,4.08,Open -Velocity (m/s) :,0.09,Open -Velocity (m/s) :,0.05,Open -Velocity (m/s) :,0.05,
,,,,,,,,,,,,,,TR1,,TR2,,TR3,,TR2,,TR3,,TR3,
,,,,,,,,,,,,,,BBreak1,,YBreak1,,RBreak1,,NA,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.000,0.000,0.000,0.000,0.000,0.007, ,-1.29,-2.21,8.49,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,1238.58,41.90,
0.147,0.007,0.051,0.029,0.000,0.000, ,0.00,0.61,1.30,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,1269.84,42.01,
0.352,0.125,0.154,0.000,0.000,0.000, ,-0.18,0.99,-0.31,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,1287.42,42.12,
0.506,0.212,0.300,0.029,0.000,0.000, ,0.00,-0.52,0.94,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,1277.66,42.20,
0.667,0.330,0.425,0.000,0.000,0.000, ,-0.18,-1.08,0.40,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,1256.17,42.23,
0.769,0.396,0.513,0.029,0.000,0.000, ,-0.18,-0.52,0.04,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,1289.38,42.27,
0.799,0.418,0.535,0.029,0.000,0.015, ,-0.18,-0.52,0.22,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,1271.79,42.20,
0.909,0.491,0.601,0.029,0.000,0.000, ,-0.18,-0.89,0.22,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,1269.84,42.23,
0.945,0.513,0.659,0.022,0.000,0.000, ,0.18,0.05,-0.49,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,1263.98,42.20,
1.004,0.557,0.689,0.029,0.000,0.000, ,0.00,-0.89,-0.13,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,1287.42,42.34,
1.026,0.586,0.733,0.000,0.000,0.000, ,-0.55,-1.08,1.30,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,1279.61,42.12,
