SAP ID,109003079232,
HEADER:,
Substation:,SAMBA  J&K,,SAP Equipment No.:,109003079232,,Test Date :,16-02-2025,,
Bay :,203,,Breaker Type :,GL 314,,Serial Number :,152163,,
Employee Id :,60018141,,Manufacturer :,AREVA,,Gas Pressure :,6.6,,
Oil Pressure :,Nil,,Air Pressure :,Nil,,Voltage (kV) :,220,,

SETTINGS :,
Trigger Option :,DCRM,,Sampling Speed (kC) :,10,,Reistance Range uOhm :,4000,,
Plot Length(ms) :,500,,Delay tco (ms) :,300,,Delay toc (ms) :,300,,
Current Range C1(A) :,25,,Current Range C2(A) :,25,,Current Range C3(A) :,25,,
Current Range C4(A) :,10,,Current Range C5(A) :,10,,Current Range C6(A) :,10,,
T1 (mm) :,180.24,,T2 (mm) :,175.74,,T3 (mm) :,177.42,,
T4 (mm) :,0.00,,T5 (mm) :,0.00,,T6 (mm) :,0.00,,

Velocity :,Enabled,,PIR :,Disabled,,Auxiliary :,Enabled,,
Analog Channels :,Disabled,,Linkage Ratio :,1.39,,
Electric Stroke Length T1 :,225,,Electric Stroke Length T2 :,225,,Electric Stroke Length T3 :,225,,
Electric Stroke Length T4 :,225,,Electric Stroke Length T5 :,225,,Electric Stroke Length T6 :,225,,

Velocity Points :,
Close1 :,30,,Open1 :,30,,DefClose :,10,
Close2 :,60,,Open2 :,60,,DefOpen :,10,,

Travel Results	:
Mechanism Travel(T1)(mm) :,129.67,,Mechanism Travel(T2)(mm) :,126.43,,Mechanism Travel(T3)(mm) :,127.64,,
Mechanism Travel(T4)(mm) :,0.00,,Mechanism Travel(T5)(mm) :,0.00,,Mechanism Travel(T6)(mm) :,0.00,,
Contact Travel(T1)(mm) :,180.24,,Contact Travel(T2)(mm) :,175.74,,Contact Travel(T3)(mm) :,177.42,,
Contact Travel(T4)(mm) :,0.00,,Contact Travel(T5)(mm) :,0.00,,Contact Travel(T6)(mm) :,0.00,,
Close - Datum Velocity (m/s)(T1) :,5.02,,Close - Datum Velocity (m/s)(T2) :,4.83,,Close - Datum Velocity (m/s)(T3) :,4.87,,
Close - Datum Velocity (m/s)(T4) :,0.00,,Close - Datum Velocity (m/s)(T5) :,0.00,,Close - Datum Velocity (m/s)(T6) :,0.00,,
Open - Datum Velocity (m/s)(T1) :,7.91,,Open - Datum Velocity (m/s)(T2) :,7.44,,Open - Datum Velocity (m/s)(T3) :,7.24,,
Open - Datum Velocity (m/s)(T4) :,0.00,,Open - Datum Velocity (m/s)(T5) :,0.00,,Open - Datum Velocity (m/s)(T6) :,0.00,,
Close - Over Travel(T1)(mm) :,0.00,,Close - Over Travel(T2)(mm) :,0.00,,Close - Over Travel(T3)(mm) :,0.00,,
Close - Over Travel(T4)(mm) :,0,,Close - Over Travel(T5)(mm) :,0,,Close - Over Travel(T6)(mm) :,0,,
Open -Rebound(T1)(mm) :,0.92,,Open - Rebound(T2)(mm) :,0.99,,Open -Rebound(T3)(mm) :,0.84,,
Open - Rebound(T4)(mm) :,0.00,,Open - Rebound(T5)(mm) :,0.00,,Open - Rebound(T6)(mm) :,0.00,,
Coil Current (A)(C1) :,1.612,,Coil Current (A)(C2) :,1.612,,Coil Current (A)(C3) :,1.495,,
Coil Current (A)(C4) :,0.021,,Coil Current (A)(C5) :,0.009,,Coil Current (A)(C6) :,0.009,,

,,,,,,,,,,,,,,Close -Velocity (m/s) :,5.62,Close -Velocity (m/s) :,5.44,Close -Velocity (m/s) :,5.36,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,0.00,
,,,,,,,,,,,,,,Open -Velocity (m/s) :,7.65,Open -Velocity (m/s) :,7.22,Open -Velocity (m/s) :,7.31,Open -Velocity (m/s) :,0.00,Open -Velocity (m/s) :,0.00,Open -Velocity (m/s) :,0.00,
,,,,,,,,,,,,,,TR1,,TR2,,TR3,,TR2,,TR3,,TR3,
,,,,,,,,,,,,,,RBreak1,,YBreak1,,BBreak1,,NA,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.000,0.000,0.000,0.000,0.000,0.000, ,-0.15,-0.10,-0.06,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,19.89,4000.00,58.06,543.10,39.27,
0.000,0.000,0.000,0.007,0.000,0.000, ,0.00,-0.10,0.10,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,19.93,4000.00,58.06,571.43,39.34,
0.000,0.000,0.000,0.007,0.007,0.000, ,0.00,-0.10,0.02,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,19.96,4000.00,58.06,571.43,39.38,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.15,0.21,0.10,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,19.93,4000.00,58.17,575.34,39.23,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.08,-0.10,-0.06,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,20.00,4000.00,58.06,571.43,39.34,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.08,0.21,-0.06,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,19.93,4000.00,58.13,571.43,39.30,
0.000,0.000,0.000,0.007,0.000,0.000, ,0.00,-0.10,-0.06,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,19.96,4000.00,58.21,571.43,39.34,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.15,0.29,-0.13,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,19.96,4000.00,58.13,571.43,39.34,
0.000,0.000,0.000,0.007,0.000,0.000, ,0.15,-0.10,-0.06,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,19.96,4000.00,58.13,571.43,39.27,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.15,0.29,0.10,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,19.96,4000.00,58.06,571.43,39.30,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.15,0.29,0.02,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,19.96,4000.00,58.13,571.43,39.34,
0.000,0.000,0.000,0.007,0.000,0.000, ,-0.08,-0.10,-0.06,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,19.96,4000.00,58.28,571.43,39.27,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.00,-0.10,0.02,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,19.96,4000.00,58.13,571.43,39.38,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.08,0.29,0.10,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,19.96,4000.00,58.13,571.43,39.34,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.08,0.21,-0.06,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,19.96,4000.00,58.06,571.43,39.34,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.15,0.29,-0.06,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,19.96,4000.00,58.06,571.43,39.38,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.00,-0.10,-0.13,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,19.96,4000.00,58.13,571.43,39.38,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.15,0.29,0.10,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,19.96,4000.00,58.24,571.43,39.27,
