SAP ID,109004149981,
HEADER:,
Substation:,PUGALUR HVDC,,SAP Equipment No.:,109004149981,,Test Date :,17-03-2023,,
Bay :,Z4.Q5,,Breaker Type :,LTB420E2,,Serial Number :,47000706,,
Employee Id :,60060008,,Manufacturer :,ABB,,Gas Pressure :,7.8,,
Oil Pressure :,NIL,,Air Pressure :,NIL,,Voltage (kV) :,400,,

SETTINGS :,
Trigger Option :,DCRM,,Sampling Speed (kC) :,10,,Reistance Range uOhm :,4000,,
Plot Length(ms) :,500,,Delay tco (ms) :,300,,Delay toc (ms) :,0,,
Current Range C1(A) :,10,,Current Range C2(A) :,10,,Current Range C3(A) :,10,,
Current Range C4(A) :,10,,Current Range C5(A) :,10,,Current Range C6(A) :,10,,
T1 (mm) :,158.05,,T2 (mm) :,161.45,,T3 (mm) :,162.73,,
T4 (mm) :,0.00,,T5 (mm) :,0.00,,T6 (mm) :,0.00,,

Velocity :,Enabled,,PIR :,Disabled,,Auxiliary :,Disabled,,
Analog Channels :,Enabled,,Linkage Ratio :,2.13,,
Electric Stroke Length T1 :,308,,Electric Stroke Length T2 :,308,,Electric Stroke Length T3 :,308,,
Electric Stroke Length T4 :,0,,Electric Stroke Length T5 :,0,,Electric Stroke Length T6 :,0,,

Velocity Points :,
Close1 :,20,,Open1 :,80,,DefClose :,10,
Close2 :,80,,Open2 :,20,,DefOpen :,10,,

Travel Results	:
Mechanism Travel(T1)(mm) :,74.20,,Mechanism Travel(T2)(mm) :,75.80,,Mechanism Travel(T3)(mm) :,76.40,,
Mechanism Travel(T4)(mm) :,0.00,,Mechanism Travel(T5)(mm) :,0.00,,Mechanism Travel(T6)(mm) :,0.00,,
Contact Travel(T1)(mm) :,158.05,,Contact Travel(T2)(mm) :,161.45,,Contact Travel(T3)(mm) :,162.73,,
Contact Travel(T4)(mm) :,0.00,,Contact Travel(T5)(mm) :,0.00,,Contact Travel(T6)(mm) :,0.00,,
Close - Datum Velocity (m/s)(T1) :,3.29,,Close - Datum Velocity (m/s)(T2) :,3.24,,Close - Datum Velocity (m/s)(T3) :,3.42,,
Close - Datum Velocity (m/s)(T4) :,0.00,,Close - Datum Velocity (m/s)(T5) :,0.00,,Close - Datum Velocity (m/s)(T6) :,0.00,,
Open - Datum Velocity (m/s)(T1) :,4.43,,Open - Datum Velocity (m/s)(T2) :,4.90,,Open - Datum Velocity (m/s)(T3) :,4.67,,
Open - Datum Velocity (m/s)(T4) :,0.00,,Open - Datum Velocity (m/s)(T5) :,0.00,,Open - Datum Velocity (m/s)(T6) :,0.00,,
Close - Over Travel(T1)(mm) :,8.77,,Close - Over Travel(T2)(mm) :,7.40,,Close - Over Travel(T3)(mm) :,14.58,,
Close - Over Travel(T4)(mm) :,0,,Close - Over Travel(T5)(mm) :,0,,Close - Over Travel(T6)(mm) :,0,,
Open -Rebound(T1)(mm) :,2.21,,Open - Rebound(T2)(mm) :,2.41,,Open -Rebound(T3)(mm) :,5.86,,
Open - Rebound(T4)(mm) :,0.00,,Open - Rebound(T5)(mm) :,0.00,,Open - Rebound(T6)(mm) :,0.00,,
Coil Current (A)(C1) :,2.603,,Coil Current (A)(C2) :,3.200,,Coil Current (A)(C3) :,2.298,,
Coil Current (A)(C4) :,1.011,,Coil Current (A)(C5) :,0.976,,Coil Current (A)(C6) :,0.988,,

,,,,,,,,,,,,,,Close -Velocity (m/s) :,3.46,Close -Velocity (m/s) :,3.43,Close -Velocity (m/s) :,3.39,Close -Velocity (m/s) :,3.39,Close -Velocity (m/s) :,3.30,Close -Velocity (m/s) :,3.38,
,,,,,,,,,,,,,,Open -Velocity (m/s) :,5.30,Open -Velocity (m/s) :,5.21,Open -Velocity (m/s) :,5.44,Open -Velocity (m/s) :,5.46,Open -Velocity (m/s) :,5.50,Open -Velocity (m/s) :,5.47,
,,,,,,,,,,,,,,TR1,,TR1,,TR2,,TR2,,TR3,,TR3,
,,,,,,,,,,,,,,RBreak1,,RBreak2,,YBreak1,,YBreak2,,BBreak1,,BBreak2,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.11,-0.02,0.62,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
0.000,0.006,0.000,0.000,0.000,0.000, ,0.11,0.24,0.28,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
0.009,0.018,0.000,0.000,0.000,0.006, ,0.11,0.24,0.15,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
0.026,0.044,0.021,0.000,0.000,0.000, ,0.11,0.05,0.15,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
0.053,0.064,0.047,0.000,0.000,0.003, ,0.11,0.05,0.08,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
0.076,0.085,0.070,0.000,0.000,0.006, ,0.11,0.11,0.02,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
0.100,0.108,0.094,0.000,0.000,0.006, ,0.11,0.24,0.08,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
0.135,0.135,0.114,0.000,0.000,0.003, ,-0.02,0.05,0.08,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
0.158,0.155,0.141,0.000,0.000,0.006, ,-0.02,0.05,0.08,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
0.176,0.179,0.164,0.000,0.000,0.006, ,0.11,0.11,-0.05,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
0.202,0.205,0.188,0.000,0.000,0.000, ,0.05,0.05,-0.05,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
