SAP ID,109006088551,
HEADER:,
Substation:,Subhasgram,,SAP Equipment No.:,109006088551,,Test Date :,18-01-2024,,
Bay :,211,,Breaker Type :,LTB245E1,,Serial Number :,17501189,,
Employee Id :,60065403,,Manufacturer :,ABB,,Gas Pressure :,6.2,,
Oil Pressure :,NA,,Air Pressure :,NA,,Voltage (kV) :,220,,

SETTINGS :,
Trigger Option :,DCRM,,Sampling Speed (kC) :,10,,Reistance Range uOhm :,2000,,
Plot Length(ms) :,600,,Delay tco (ms) :,300,,Delay toc (ms) :,300,,
Current Range C1(A) :,25,,Current Range C2(A) :,25,,Current Range C3(A) :,25,,
Current Range C4(A) :,25,,Current Range C5(A) :,25,,Current Range C6(A) :,25,,
T1 (mm) :,128.47,,T2 (mm) :,129.91,,T3 (mm) :,127.54,,
T4 (mm) :,0.00,,T5 (mm) :,0.00,,T6 (mm) :,0.00,,

Velocity :,Enabled,,PIR :,Disabled,,Auxiliary :,Enabled,,
Analog Channels :,Enabled,,Linkage Ratio :,1.75,,
Electric Stroke Length T1 :,308,,Electric Stroke Length T2 :,308,,Electric Stroke Length T3 :,308,,
Electric Stroke Length T4 :,308,,Electric Stroke Length T5 :,308,,Electric Stroke Length T6 :,308,,

Velocity Points :,
Close1 :,30,,Open1 :,30,,DefClose :,10,
Close2 :,60,,Open2 :,60,,DefOpen :,10,,

Travel Results	:
Mechanism Travel(T1)(mm) :,73.41,,Mechanism Travel(T2)(mm) :,74.24,,Mechanism Travel(T3)(mm) :,72.88,,
Mechanism Travel(T4)(mm) :,0.00,,Mechanism Travel(T5)(mm) :,0.00,,Mechanism Travel(T6)(mm) :,0.00,,
Contact Travel(T1)(mm) :,128.47,,Contact Travel(T2)(mm) :,129.91,,Contact Travel(T3)(mm) :,127.54,,
Contact Travel(T4)(mm) :,0.00,,Contact Travel(T5)(mm) :,0.00,,Contact Travel(T6)(mm) :,0.00,,
Close - Datum Velocity (m/s)(T1) :,5.56,,Close - Datum Velocity (m/s)(T2) :,5.42,,Close - Datum Velocity (m/s)(T3) :,5.23,,
Close - Datum Velocity (m/s)(T4) :,0.00,,Close - Datum Velocity (m/s)(T5) :,0.00,,Close - Datum Velocity (m/s)(T6) :,0.00,,
Open - Datum Velocity (m/s)(T1) :,4.93,,Open - Datum Velocity (m/s)(T2) :,4.99,,Open - Datum Velocity (m/s)(T3) :,4.94,,
Open - Datum Velocity (m/s)(T4) :,0.00,,Open - Datum Velocity (m/s)(T5) :,0.00,,Open - Datum Velocity (m/s)(T6) :,0.00,,
Close - Over Travel(T1)(mm) :,15.66,,Close - Over Travel(T2)(mm) :,26.19,,Close - Over Travel(T3)(mm) :,11.06,,
Close - Over Travel(T4)(mm) :,0,,Close - Over Travel(T5)(mm) :,0,,Close - Over Travel(T6)(mm) :,0,,
Open -Rebound(T1)(mm) :,2.37,,Open - Rebound(T2)(mm) :,0.92,,Open -Rebound(T3)(mm) :,0.92,,
Open - Rebound(T4)(mm) :,0.00,,Open - Rebound(T5)(mm) :,0.00,,Open - Rebound(T6)(mm) :,0.00,,
Coil Current (A)(C1) :,3.165,,Coil Current (A)(C2) :,3.055,,Coil Current (A)(C3) :,0.059,,
Coil Current (A)(C4) :,0.125,,Coil Current (A)(C5) :,0.073,,Coil Current (A)(C6) :,0.088,,

,,,,,,,,,,,,,,Close -Velocity (m/s) :,5.62,Close -Velocity (m/s) :,5.57,Close -Velocity (m/s) :,5.20,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,0.00,
,,,,,,,,,,,,,,Open -Velocity (m/s) :,4.92,Open -Velocity (m/s) :,4.96,Open -Velocity (m/s) :,4.86,Open -Velocity (m/s) :,0.00,Open -Velocity (m/s) :,0.03,Open -Velocity (m/s) :,0.54,
,,,,,,,,,,,,,,TR1,,TR2,,TR3,,TR1,,TR2,,TR3,
,,,,,,,,,,,,,,RBreak1,,YBreak1,,BBreak1,,NA,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.015,0.000,0.000,0.022,0.000,0.000, ,-1.65,-0.99,-0.16,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,55.02,2000.00,0.00,2000.00,0.00,
0.000,0.000,0.000,0.044,0.007,0.007, ,-1.91,0.20,-0.03,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,55.09,2000.00,0.00,2000.00,0.00,
0.015,0.000,0.000,0.000,0.000,0.000, ,-1.65,-0.07,-0.03,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,55.09,2000.00,0.00,2000.00,0.00,
0.051,0.000,0.000,0.059,0.007,0.037, ,-1.51,-0.20,0.10,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,55.02,2000.00,0.00,2000.00,0.00,
0.044,0.000,0.000,0.000,0.000,0.000, ,-1.78,-0.20,0.10,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,55.05,2000.00,0.00,2000.00,0.00,
0.073,0.000,0.000,0.073,0.015,0.000, ,-1.78,-0.46,0.23,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.95,2000.00,0.00,2000.00,0.00,
0.088,0.000,0.000,0.037,0.000,0.000, ,-2.04,1.65,0.23,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,55.02,2000.00,0.00,2000.00,0.00,
0.161,0.000,0.000,0.007,0.000,0.000, ,-1.38,0.07,-0.16,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,55.02,2000.00,0.00,2000.00,0.00,
0.205,0.000,0.000,0.037,0.007,0.015, ,-1.65,-0.46,-0.16,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.95,2000.00,0.00,2000.00,0.00,
0.220,0.000,0.000,0.000,0.000,0.007, ,-1.91,-0.07,0.49,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.98,2000.00,0.00,2000.00,0.00,
0.264,0.000,0.000,0.022,0.000,0.000, ,-1.25,-0.46,-0.43,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.98,2000.00,0.00,2000.00,0.00,
